DivisionNm,HoverText
BRACKEN RIDGE,"Division Information<br>Division Name: BRACKEN RIDGE<br>Winner: LNP (Sandy, LANDERS)<br>Number of Candidates: 3<br>Number of Formal Votes: 24284<br>Number of Informal Votes: 707 (2.91%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	11798 (50.04%)<br>Australian Labor Party (State of Queensland): 	8850 (37.54%)<br>Queensland Greens: 	2929 (12.42%)<br>"
CALAMVALE,"Division Information<br>Division Name: CALAMVALE<br>Winner: LNP (Angela, OWEN)<br>Number of Candidates: 3<br>Number of Formal Votes: 25288<br>Number of Informal Votes: 692 (2.74%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	11887 (48.33%)<br>Queensland Greens: 	2393 (9.73%)<br>Australian Labor Party (State of Queensland): 	10316 (41.94%)<br>"
CENTRAL,"Division Information<br>Division Name: CENTRAL<br>Winner: LNP (Vicki, HOWARD)<br>Number of Candidates: 3<br>Number of Formal Votes: 20665<br>Number of Informal Votes: 418 (2.02%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	5568 (27.5%)<br>Australian Labor Party (State of Queensland): 	4879 (24.1%)<br>Liberal National Party of Queensland: 	9800 (48.4%)<br>"
CHANDLER,"Division Information<br>Division Name: CHANDLER<br>Winner: LNP (Ryan, MURPHY)<br>Number of Candidates: 3<br>Number of Formal Votes: 24868<br>Number of Informal Votes: 581 (2.34%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	2604 (10.72%)<br>Australian Labor Party (State of Queensland): 	6167 (25.39%)<br>Liberal National Party of Queensland: 	15516 (63.89%)<br>"
COORPAROO,"Division Information<br>Division Name: COORPAROO<br>Winner: LNP (Fiona, CUNNINGHAM)<br>Number of Candidates: 3<br>Number of Formal Votes: 24044<br>Number of Informal Votes: 476 (1.98%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	6484 (27.51%)<br>Liberal National Party of Queensland: 	10575 (44.87%)<br>Queensland Greens: 	6509 (27.62%)<br>"
DEAGON,"Division Information<br>Division Name: DEAGON<br>Winner: Australian Labor Party (Jared, CASSIDY)<br>Number of Candidates: 4<br>Number of Formal Votes: 26255<br>Number of Informal Votes: 688 (2.62%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	13127 (51.34%)<br>Liberal National Party of Queensland: 	8919 (34.88%)<br>Motorists Party: 	586 (2.29%)<br>Queensland Greens: 	2935 (11.48%)<br>"
DOBOY,"Division Information<br>Division Name: DOBOY<br>Winner: LNP (Lisa, ATWOOD)<br>Number of Candidates: 2<br>Number of Formal Votes: 23589<br>Number of Informal Votes: 661 (2.8%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	12549 (54.73%)<br>Australian Labor Party (State of Queensland): 	10379 (45.27%)<br>"
ENOGGERA,"Division Information<br>Division Name: ENOGGERA<br>Winner: LNP (Andrew, WINES)<br>Number of Candidates: 5<br>Number of Formal Votes: 24242<br>Number of Informal Votes: 517 (2.13%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	8169 (34.43%)<br>Liberal National Party of Queensland: 	10703 (45.11%)<br>Independent: 	645 (2.72%)<br>Queensland Greens: 	3821 (16.11%)<br>Independent: 	387 (1.63%)<br>"
FOREST LAKE,"Division Information<br>Division Name: FOREST LAKE<br>Winner: Australian Labor Party (Charles, STRUNK)<br>Number of Candidates: 3<br>Number of Formal Votes: 25030<br>Number of Informal Votes: 1044 (4.17%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	3920 (16.34%)<br>Liberal National Party of Queensland: 	7399 (30.85%)<br>Australian Labor Party (State of Queensland): 	12667 (52.81%)<br>"
HAMILTON,"Division Information<br>Division Name: HAMILTON<br>Winner: LNP (David, MCLACHLAN)<br>Number of Candidates: 3<br>Number of Formal Votes: 22641<br>Number of Informal Votes: 519 (2.29%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	3632 (16.42%)<br>Liberal National Party of Queensland: 	14101 (63.74%)<br>Australian Labor Party (State of Queensland): 	4389 (19.84%)<br>"
HOLLAND PARK,"Division Information<br>Division Name: HOLLAND PARK<br>Winner: LNP (Krista, ADAMS)<br>Number of Candidates: 3<br>Number of Formal Votes: 24431<br>Number of Informal Votes: 580 (2.37%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	7323 (30.7%)<br>Queensland Greens: 	4975 (20.86%)<br>Liberal National Party of Queensland: 	11553 (48.44%)<br>"
JAMBOREE,"Division Information<br>Division Name: JAMBOREE<br>Winner: LNP (Sarah, HUTTON)<br>Number of Candidates: 3<br>Number of Formal Votes: 25240<br>Number of Informal Votes: 750 (2.97%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	13455 (54.94%)<br>Queensland Greens: 	3039 (12.41%)<br>Australian Labor Party (State of Queensland): 	7996 (32.65%)<br>"
MCDOWALL,"Division Information<br>Division Name: MCDOWALL<br>Winner: LNP (Tracy, DAVIS)<br>Number of Candidates: 3<br>Number of Formal Votes: 25407<br>Number of Informal Votes: 580 (2.28%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	7380 (29.73%)<br>Liberal National Party of Queensland: 	14693 (59.18%)<br>Queensland Greens: 	2754 (11.09%)<br>"
MACGREGOR,"Division Information<br>Division Name: MACGREGOR<br>Winner: LNP (Steven, HUANG)<br>Number of Candidates: 3<br>Number of Formal Votes: 23101<br>Number of Informal Votes: 630 (2.73%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	2666 (11.86%)<br>Australian Labor Party (State of Queensland): 	6460 (28.75%)<br>Liberal National Party of Queensland: 	13345 (59.39%)<br>"
MARCHANT,"Division Information<br>Division Name: MARCHANT<br>Winner: LNP (Fiona, HAMMOND)<br>Number of Candidates: 3<br>Number of Formal Votes: 24719<br>Number of Informal Votes: 676 (2.73%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	7842 (32.62%)<br>Queensland Greens: 	4331 (18.01%)<br>Liberal National Party of Queensland: 	11870 (49.37%)<br>"
MOOROOKA,"Division Information<br>Division Name: MOOROOKA<br>Winner: Australian Labor Party (Steve, GRIFFITHS)<br>Number of Candidates: 4<br>Number of Formal Votes: 21586<br>Number of Informal Votes: 727 (3.37%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	10416 (49.94%)<br>Independent: 	1000 (4.79%)<br>Queensland Greens: 	4209 (20.18%)<br>Liberal National Party of Queensland: 	5234 (25.09%)<br>"
MORNINGSIDE,"Division Information<br>Division Name: MORNINGSIDE<br>Winner: Australian Labor Party (Kara, COOK)<br>Number of Candidates: 3<br>Number of Formal Votes: 22754<br>Number of Informal Votes: 445 (1.96%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	8242 (36.94%)<br>Queensland Greens: 	3390 (15.2%)<br>Australian Labor Party (State of Queensland): 	10677 (47.86%)<br>"
NORTHGATE,"Division Information<br>Division Name: NORTHGATE<br>Winner: LNP (Adam, ALLAN)<br>Number of Candidates: 3<br>Number of Formal Votes: 24897<br>Number of Informal Votes: 666 (2.68%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	8810 (36.36%)<br>Liberal National Party of Queensland: 	11315 (46.7%)<br>Queensland Greens: 	4106 (16.95%)<br>"
PADDINGTON,"Division Information<br>Division Name: PADDINGTON<br>Winner: LNP (Peter, MATIC)<br>Number of Candidates: 3<br>Number of Formal Votes: 23735<br>Number of Informal Votes: 347 (1.46%)<br>---------------------------------<br>Primary Votes<br>Queensland Greens: 	8984 (38.41%)<br>Liberal National Party of Queensland: 	10629 (45.45%)<br>Australian Labor Party (State of Queensland): 	3775 (16.14%)<br>"
PULLENVALE,"Division Information<br>Division Name: PULLENVALE<br>Winner: LNP (Greg, ADERMANN)<br>Number of Candidates: 4<br>Number of Formal Votes: 26259<br>Number of Informal Votes: 618 (2.35%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	3643 (14.21%)<br>Liberal National Party of Queensland: 	10686 (41.68%)<br>Independent: 	5060 (19.73%)<br>Queensland Greens: 	6252 (24.38%)<br>"
RUNCORN,"Division Information<br>Division Name: RUNCORN<br>Winner: LNP (Kim, MARX)<br>Number of Candidates: 3<br>Number of Formal Votes: 24620<br>Number of Informal Votes: 698 (2.84%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	8491 (35.49%)<br>Liberal National Party of Queensland: 	12949 (54.13%)<br>Queensland Greens: 	2482 (10.38%)<br>"
TENNYSON,"Division Information<br>Division Name: TENNYSON<br>Winner: IND (Nicole, JOHNSTON)<br>Number of Candidates: 5<br>Number of Formal Votes: 23046<br>Number of Informal Votes: 383 (1.66%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	4394 (19.39%)<br>Queensland Greens: 	3058 (13.49%)<br>Australian Labor Party (State of Queensland): 	3212 (14.17%)<br>Independent: 	11571 (51.06%)<br>Animal Justice Party (Queensland): 	428 (1.89%)<br>"
THE GABBA,"Division Information<br>Division Name: THE GABBA<br>Winner: The Greens (Jonathan, SRI)<br>Number of Candidates: 3<br>Number of Formal Votes: 21074<br>Number of Informal Votes: 495 (2.35%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	6060 (29.45%)<br>Australian Labor Party (State of Queensland): 	5136 (24.96%)<br>Queensland Greens: 	9383 (45.6%)<br>"
THE GAP,"Division Information<br>Division Name: THE GAP<br>Winner: LNP (Steven, TOOMEY)<br>Number of Candidates: 4<br>Number of Formal Votes: 25958<br>Number of Informal Votes: 504 (1.94%)<br>---------------------------------<br>Primary Votes<br>Liberal National Party of Queensland: 	12872 (50.57%)<br>Independent: 	443 (1.74%)<br>Australian Labor Party (State of Queensland): 	7822 (30.73%)<br>Queensland Greens: 	4317 (16.96%)<br>"
WALTER TAYLOR,"Division Information<br>Division Name: WALTER TAYLOR<br>Winner: LNP (James, MACKAY)<br>Number of Candidates: 4<br>Number of Formal Votes: 23782<br>Number of Informal Votes: 412 (1.73%)<br>---------------------------------<br>Primary Votes<br>Australian Labor Party (State of Queensland): 	3582 (15.33%)<br>Queensland Greens: 	8147 (34.86%)<br>Liberal National Party of Queensland: 	10957 (46.88%)<br>Independent: 	684 (2.93%)<br>"
