DivisionID,DivisionNm,GivenNm,Surname,PartyNm,PartyAb
1,BRACKEN RIDGE,Sandra Jane Marie,LANDERS,Liberal National Party of Queensland,LNP
2,CALAMVALE,Angela Carolyn,OWEN,Liberal National Party of Queensland,LNP
3,CENTRAL,Vicki Jean,HOWARD,Liberal National Party of Queensland,LNP
4,CHANDLER,Ryan MacKenzie,MURPHY,Liberal National Party of Queensland,LNP
5,COORPAROO,Fiona Joy,CUNNINGHAM,Liberal National Party of Queensland,LNP
6,DEAGON,Jared Ryan,CASSIDY,Australian Labor Party (State of Queensland),Australian Labor Party
7,DOBOY,Lisa Maree,ATWOOD,Liberal National Party of Queensland,LNP
8,ENOGGERA,Andrew Robert,WINES,Liberal National Party of Queensland,LNP
9,FOREST LAKE,Charles Dean,STRUNK,Australian Labor Party (State of Queensland),Australian Labor Party
10,HAMILTON,David Charles Burnett,MCLACHLAN,Liberal National Party of Queensland,LNP
11,HOLLAND PARK,Krista Mary,ADAMS,Liberal National Party of Queensland,LNP
12,JAMBOREE,Sarah Mary,HUTTON,Liberal National Party of Queensland,LNP
13,MCDOWALL,Tracy Ellen,DAVIS,Liberal National Party of Queensland,LNP
14,MACGREGOR,Wen-Yi Steven,HUANG,Liberal National Party of Queensland,LNP
15,MARCHANT,Fiona Ann,HAMMOND,Liberal National Party of Queensland,LNP
16,MOOROOKA,Stephen,GRIFFITHS,Australian Labor Party (State of Queensland),Australian Labor Party
17,MORNINGSIDE,Kara May George,COOK,Australian Labor Party (State of Queensland),Australian Labor Party
18,NORTHGATE,Adam Lindley,ALLAN,Liberal National Party of Queensland,LNP
19,PADDINGTON,Peter Nebojsa,MATIC,Liberal National Party of Queensland,LNP
20,PULLENVALE,Gregory Charles,ADERMANN,Liberal National Party of Queensland,LNP
21,RUNCORN,Kim Sharee,MARX,Liberal National Party of Queensland,LNP
22,TENNYSON,Nicole Amanda,JOHNSTON,Independent,IND
23,THE GABBA,Jonathan,SRI,Queensland Greens,The Greens
24,THE GAP,Steven Michael,TOOMEY,Liberal National Party of Queensland,LNP
25,WALTER TAYLOR,Edward James Innes,MACKAY,Liberal National Party of Queensland,LNP
26,WYNNUM-MANLY,Peter,CUMMING,Australian Labor Party (State of Queensland),Australian Labor Party
