DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
1,BRACKEN RIDGE,Informal,Informal,0,N,Informal,Informal,707
1,BRACKEN RIDGE,Sandy,LANDERS,1,Y,LNP,Liberal National Party of Queensland,11798
1,BRACKEN RIDGE,Cath,PALMER,2,N,ALP,Australian Labor Party (State of Queensland),8850
1,BRACKEN RIDGE,Kathryn,FRY,3,N,GRN,Queensland Greens,2929
2,CALAMVALE,Informal,Informal,0,N,Informal,Informal,692
2,CALAMVALE,Angela,OWEN,1,Y,LNP,Liberal National Party of Queensland,11887
2,CALAMVALE,Josie,MIRA,2,N,GRN,Queensland Greens,2393
2,CALAMVALE,James,MARTIN,3,N,ALP,Australian Labor Party (State of Queensland),10316
3,CENTRAL,Informal,Informal,0,N,Informal,Informal,418
3,CENTRAL,Trina,MASSEY,1,N,GRN,Queensland Greens,5568
3,CENTRAL,Judi,JABOUR,2,N,ALP,Australian Labor Party (State of Queensland),4879
3,CENTRAL,Vicki,HOWARD,3,Y,LNP,Liberal National Party of Queensland,9800
4,CHANDLER,Informal,Informal,0,N,Informal,Informal,581
4,CHANDLER,Steph,MOSS,1,N,GRN,Queensland Greens,2604
4,CHANDLER,Penny,O'NEILL,2,N,ALP,Australian Labor Party (State of Queensland),6167
4,CHANDLER,Ryan,MURPHY,3,Y,LNP,Liberal National Party of Queensland,15516
5,COORPAROO,Informal,Informal,0,N,Informal,Informal,476
5,COORPAROO,Matt,CAMPBELL,1,N,ALP,Australian Labor Party (State of Queensland),6484
5,COORPAROO,Fiona,CUNNINGHAM,2,Y,LNP,Liberal National Party of Queensland,10575
5,COORPAROO,Sally,DILLON,3,N,GRN,Queensland Greens,6509
6,DEAGON,Informal,Informal,0,N,Informal,Informal,688
6,DEAGON,Jared,CASSIDY,1,Y,ALP,Australian Labor Party (State of Queensland),13127
6,DEAGON,Kimberley,WASHINGTON,2,N,LNP,Liberal National Party of Queensland,8919
6,DEAGON,Kathy,MOLONEY,3,N,,Motorists Party,586
6,DEAGON,Anthony,WALSH,4,N,GRN,Queensland Greens,2935
7,DOBOY,Informal,Informal,0,N,Informal,Informal,661
7,DOBOY,Lisa,ATWOOD,1,Y,LNP,Liberal National Party of Queensland,12549
7,DOBOY,Jo,CULSHAW,2,N,ALP,Australian Labor Party (State of Queensland),10379
8,ENOGGERA,Informal,Informal,0,N,Informal,Informal,517
8,ENOGGERA,Jonty,BUSH,1,N,ALP,Australian Labor Party (State of Queensland),8169
8,ENOGGERA,Andrew,WINES,2,Y,LNP,Liberal National Party of Queensland,10703
8,ENOGGERA,Craig,WHITEMAN,3,N,IND,Independent,645
8,ENOGGERA,Ell-Leigh,ACKERMAN,4,N,GRN,Queensland Greens,3821
8,ENOGGERA,Kristin,PERISSINOTTO,5,N,IND,Independent,387
9,FOREST LAKE,Informal,Informal,0,N,Informal,Informal,1044
9,FOREST LAKE,Jenny,MULKEARNS,1,N,GRN,Queensland Greens,3920
9,FOREST LAKE,Roger,HOOPER,2,N,LNP,Liberal National Party of Queensland,7399
9,FOREST LAKE,Charles,STRUNK,3,Y,ALP,Australian Labor Party (State of Queensland),12667
10,HAMILTON,Informal,Informal,0,N,Informal,Informal,519
10,HAMILTON,Miranda,BERTRAM,1,N,GRN,Queensland Greens,3632
10,HAMILTON,David,MCLACHLAN,2,Y,LNP,Liberal National Party of Queensland,14101
10,HAMILTON,Leah,MALZARD,3,N,ALP,Australian Labor Party (State of Queensland),4389
11,HOLLAND PARK,Informal,Informal,0,N,Informal,Informal,580
11,HOLLAND PARK,Karleigh,AUGUSTON,1,N,ALP,Australian Labor Party (State of Queensland),7323
11,HOLLAND PARK,Jenny,GAMBLE,2,N,GRN,Queensland Greens,4975
11,HOLLAND PARK,Krista,ADAMS,3,Y,LNP,Liberal National Party of Queensland,11553
12,JAMBOREE,Informal,Informal,0,N,Informal,Informal,750
12,JAMBOREE,Sarah,HUTTON,1,Y,LNP,Liberal National Party of Queensland,13455
12,JAMBOREE,Thomas,MCKIE,2,N,GRN,Queensland Greens,3039
12,JAMBOREE,Rachel,HOPPE,3,N,ALP,Australian Labor Party (State of Queensland),7996
13,MCDOWALL,Informal,Informal,0,N,Informal,Informal,580
13,MCDOWALL,Liam,CULVERHOUSE,1,N,ALP,Australian Labor Party (State of Queensland),7380
13,MCDOWALL,Tracy,DAVIS,2,Y,LNP,Liberal National Party of Queensland,14693
13,MCDOWALL,Joshua,SANDERSON,3,N,GRN,Queensland Greens,2754
14,MACGREGOR,Informal,Informal,0,N,Informal,Informal,630
14,MACGREGOR,Sean,WOMERSLEY,1,N,GRN,Queensland Greens,2666
14,MACGREGOR,Trent,MCTIERNAN,2,N,ALP,Australian Labor Party (State of Queensland),6460
14,MACGREGOR,Steven,HUANG,3,Y,LNP,Liberal National Party of Queensland,13345
15,MARCHANT,Informal,Informal,0,N,Informal,Informal,676
15,MARCHANT,Susan,LYNCH,1,N,ALP,Australian Labor Party (State of Queensland),7842
15,MARCHANT,John,MEYER,2,N,GRN,Queensland Greens,4331
15,MARCHANT,Fiona,HAMMOND,3,Y,LNP,Liberal National Party of Queensland,11870
16,MOOROOKA,Informal,Informal,0,N,Informal,Informal,727
16,MOOROOKA,Steve,GRIFFITHS,1,Y,ALP,Australian Labor Party (State of Queensland),10416
