DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Brisbane City Bracken Ridge,0,1,LANDERS,Sandy,LNP,Liberal National Party of Queensland,Y,11798,50.04,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Bracken Ridge,0,2,PALMER,Cath,ALP,Australian Labor Party (State of Queensland),N,8850,37.54,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Bracken Ridge,0,3,FRY,Kathryn,GRN,Queensland Greens,N,2929,12.42,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Bracken Ridge,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Bracken Ridge,1,1,LANDERS,Sandy,LNP,Liberal National Party of Queensland,Y,12127,54.15,329,11.23,LNP,3,FRY,Kathryn,GRN,Queensland Greens
Brisbane City Bracken Ridge,1,2,PALMER,Cath,ALP,Australian Labor Party (State of Queensland),N,10267,45.85,1417,48.38,LNP,3,FRY,Kathryn,GRN,Queensland Greens
Brisbane City Bracken Ridge,1,3,FRY,Kathryn,GRN,Queensland Greens,N,0,0,-2929,-100.0,LNP,3,FRY,Kathryn,GRN,Queensland Greens
Brisbane City Bracken Ridge,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1183,5.02,1183,40.39,LNP,3,FRY,Kathryn,GRN,Queensland Greens
Brisbane City Calamvale,0,1,OWEN,Angela,LNP,Liberal National Party of Queensland,Y,11887,48.33,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Calamvale,0,2,MIRA,Josie,GRN,Queensland Greens,N,2393,9.73,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Calamvale,0,3,MARTIN,James,ALP,Australian Labor Party (State of Queensland),N,10316,41.94,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Calamvale,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Calamvale,1,1,OWEN,Angela,LNP,Liberal National Party of Queensland,Y,12156,52.24,269,11.24,LNP,2,MIRA,Josie,GRN,Queensland Greens
Brisbane City Calamvale,1,2,MIRA,Josie,GRN,Queensland Greens,N,0,0,-2393,-100.0,LNP,2,MIRA,Josie,GRN,Queensland Greens
Brisbane City Calamvale,1,3,MARTIN,James,ALP,Australian Labor Party (State of Queensland),N,11113,47.76,797,33.31,LNP,2,MIRA,Josie,GRN,Queensland Greens
Brisbane City Calamvale,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1327,5.4,1327,55.45,LNP,2,MIRA,Josie,GRN,Queensland Greens
Brisbane City Central,0,1,MASSEY,Trina,GRN,Queensland Greens,N,5568,27.5,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Central,0,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland),N,4879,24.1,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Central,0,3,HOWARD,Vicki,LNP,Liberal National Party of Queensland,Y,9800,48.4,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Central,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Central,1,1,MASSEY,Trina,GRN,Queensland Greens,N,7573,42.23,2005,41.09,LNP,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland)
Brisbane City Central,1,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland),N,0,0,-4879,-100.0,LNP,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland)
Brisbane City Central,1,3,HOWARD,Vicki,LNP,Liberal National Party of Queensland,Y,10359,57.77,559,11.46,LNP,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland)
Brisbane City Central,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,2315,11.43,2315,47.45,LNP,2,JABOUR,Judi,ALP,Australian Labor Party (State of Queensland)
Brisbane City Chandler,0,1,MOSS,Steph,GRN,Queensland Greens,N,2604,10.72,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Chandler,0,2,O'NEILL,Penny,ALP,Australian Labor Party (State of Queensland),N,6167,25.39,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Chandler,0,3,MURPHY,Ryan,LNP,Liberal National Party of Queensland,Y,15516,63.89,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Chandler,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Chandler,1,1,MOSS,Steph,GRN,Queensland Greens,N,0,0,-2604,-100.0,LNP,1,MOSS,Steph,GRN,Queensland Greens
Brisbane City Chandler,1,2,O'NEILL,Penny,ALP,Australian Labor Party (State of Queensland),N,7307,31.67,1140,43.78,LNP,1,MOSS,Steph,GRN,Queensland Greens
Brisbane City Chandler,1,3,MURPHY,Ryan,LNP,Liberal National Party of Queensland,Y,15764,68.33,248,9.52,LNP,1,MOSS,Steph,GRN,Queensland Greens
Brisbane City Chandler,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,1216,5.01,1216,46.7,LNP,1,MOSS,Steph,GRN,Queensland Greens
Brisbane City Coorparoo,0,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland),N,6484,27.51,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Coorparoo,0,2,CUNNINGHAM,Fiona,LNP,Liberal National Party of Queensland,Y,10575,44.87,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Coorparoo,0,3,DILLON,Sally,GRN,Queensland Greens,N,6509,27.62,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Coorparoo,0,4,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
