2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","155","Bowman","0","ABSENT","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","227"
"QLD","155","Bowman","0","ABSENT","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","10.900"
"QLD","155","Bowman","0","ABSENT","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","179"
"QLD","155","Bowman","0","ABSENT","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","8.590"
"QLD","155","Bowman","0","ABSENT","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","519"
"QLD","155","Bowman","0","ABSENT","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","24.920"
"QLD","155","Bowman","0","ABSENT","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","588"
"QLD","155","Bowman","0","ABSENT","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","28.230"
"QLD","155","Bowman","0","ABSENT","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","27"
"QLD","155","Bowman","0","ABSENT","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","1.300"
"QLD","155","Bowman","0","ABSENT","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","543"
"QLD","155","Bowman","0","ABSENT","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","26.070"
"QLD","155","Bowman","0","ABSENT","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","234"
"QLD","155","Bowman","0","ABSENT","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","11.230"
"QLD","155","Bowman","0","ABSENT","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","7"
"QLD","155","Bowman","0","ABSENT","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","25.930"
"QLD","155","Bowman","0","ABSENT","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","183"
"QLD","155","Bowman","0","ABSENT","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","8.790"
"QLD","155","Bowman","0","ABSENT","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","4"
"QLD","155","Bowman","0","ABSENT","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","14.810"
"QLD","155","Bowman","0","ABSENT","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","527"
"QLD","155","Bowman","0","ABSENT","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","25.300"
"QLD","155","Bowman","0","ABSENT","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","8"
"QLD","155","Bowman","0","ABSENT","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","29.630"
"QLD","155","Bowman","0","ABSENT","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","591"
"QLD","155","Bowman","0","ABSENT","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","28.370"
"QLD","155","Bowman","0","ABSENT","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","3"
"QLD","155","Bowman","0","ABSENT","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","11.110"
"QLD","155","Bowman","0","ABSENT","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","-27"
"QLD","155","Bowman","0","ABSENT","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","ABSENT","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","548"
"QLD","155","Bowman","0","ABSENT","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","26.310"
"QLD","155","Bowman","0","ABSENT","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","5"
"QLD","155","Bowman","0","ABSENT","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","18.520"
"QLD","155","Bowman","0","ABSENT","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","342"
"QLD","155","Bowman","0","ABSENT","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","16.420"
"QLD","155","Bowman","0","ABSENT","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","108"
"QLD","155","Bowman","0","ABSENT","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","59.020"
"QLD","155","Bowman","0","ABSENT","2","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","2","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","2","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","-183"
"QLD","155","Bowman","0","ABSENT","2","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","ABSENT","2","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","566"
"QLD","155","Bowman","0","ABSENT","2","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","27.170"
"QLD","155","Bowman","0","ABSENT","2","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","39"
"QLD","155","Bowman","0","ABSENT","2","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","21.310"
"QLD","155","Bowman","0","ABSENT","2","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","614"
"QLD","155","Bowman","0","ABSENT","2","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","29.480"
"QLD","155","Bowman","0","ABSENT","2","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","23"
"QLD","155","Bowman","0","ABSENT","2","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","12.570"
"QLD","155","Bowman","0","ABSENT","2","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","2","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","2","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","2","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","2","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","561"
"QLD","155","Bowman","0","ABSENT","2","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","26.930"
"QLD","155","Bowman","0","ABSENT","2","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","13"
"QLD","155","Bowman","0","ABSENT","2","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","7.100"
"QLD","155","Bowman","0","ABSENT","3","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","3","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","3","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","-342"
"QLD","155","Bowman","0","ABSENT","3","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","ABSENT","3","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","3","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","3","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","3","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","3","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","728"
"QLD","155","Bowman","0","ABSENT","3","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","34.950"
"QLD","155","Bowman","0","ABSENT","3","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","162"
"QLD","155","Bowman","0","ABSENT","3","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","47.370"
"QLD","155","Bowman","0","ABSENT","3","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","740"
"QLD","155","Bowman","0","ABSENT","3","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","35.530"
"QLD","155","Bowman","0","ABSENT","3","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","126"
"QLD","155","Bowman","0","ABSENT","3","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","36.840"
"QLD","155","Bowman","0","ABSENT","3","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","3","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","3","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","3","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","3","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","615"
"QLD","155","Bowman","0","ABSENT","3","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","29.520"
"QLD","155","Bowman","0","ABSENT","3","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","54"
"QLD","155","Bowman","0","ABSENT","3","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","15.790"
"QLD","155","Bowman","0","ABSENT","4","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","4","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","4","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","4","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","4","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","4","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","-728"
"QLD","155","Bowman","0","ABSENT","4","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","ABSENT","4","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","1012"
"QLD","155","Bowman","0","ABSENT","4","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","48.580"
"QLD","155","Bowman","0","ABSENT","4","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","272"
"QLD","155","Bowman","0","ABSENT","4","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","37.360"
"QLD","155","Bowman","0","ABSENT","4","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","0"
"QLD","155","Bowman","0","ABSENT","4","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","0"
"QLD","155","Bowman","0","ABSENT","4","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","ABSENT","4","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1071"
"QLD","155","Bowman","0","ABSENT","4","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","51.420"
"QLD","155","Bowman","0","ABSENT","4","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","456"
"QLD","155","Bowman","0","ABSENT","4","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","62.640"
"QLD","155","Bowman","0","POSTAL","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","1350"
"QLD","155","Bowman","0","POSTAL","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","7.450"
"QLD","155","Bowman","0","POSTAL","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","822"
"QLD","155","Bowman","0","POSTAL","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","4.540"
"QLD","155","Bowman","0","POSTAL","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","1958"
"QLD","155","Bowman","0","POSTAL","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","10.800"
"QLD","155","Bowman","0","POSTAL","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","8598"
"QLD","155","Bowman","0","POSTAL","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","47.440"
"QLD","155","Bowman","0","POSTAL","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","286"
"QLD","155","Bowman","0","POSTAL","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","1.580"
"QLD","155","Bowman","0","POSTAL","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","5110"
"QLD","155","Bowman","0","POSTAL","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","28.190"
"QLD","155","Bowman","0","POSTAL","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","155","Bowman","0","POSTAL","0","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","155","Bowman","0","POSTAL","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","1388"
"QLD","155","Bowman","0","POSTAL","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","7.660"
"QLD","155","Bowman","0","POSTAL","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","38"
"QLD","155","Bowman","0","POSTAL","1","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","13.290"
"QLD","155","Bowman","0","POSTAL","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","858"
"QLD","155","Bowman","0","POSTAL","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Percent","4.730"
"QLD","155","Bowman","0","POSTAL","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Count","36"
"QLD","155","Bowman","0","POSTAL","1","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Transfer Percent","12.590"
"QLD","155","Bowman","0","POSTAL","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Count","2046"
"QLD","155","Bowman","0","POSTAL","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Preference Percent","11.290"
"QLD","155","Bowman","0","POSTAL","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Count","88"
"QLD","155","Bowman","0","POSTAL","1","3","37336","MAZLIN","Ian Douglas","GRN","Queensland Greens","N","Transfer Percent","30.770"
"QLD","155","Bowman","0","POSTAL","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Count","8659"
"QLD","155","Bowman","0","POSTAL","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Preference Percent","47.780"
"QLD","155","Bowman","0","POSTAL","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Count","61"
"QLD","155","Bowman","0","POSTAL","1","4","37477","PIKE","Henry Jon","LNP","Liberal National Party of Queensland","Y","Transfer Percent","21.330"
"QLD","155","Bowman","0","POSTAL","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Count","0"
"QLD","155","Bowman","0","POSTAL","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Preference Percent","0.000"
"QLD","155","Bowman","0","POSTAL","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Count","-286"
"QLD","155","Bowman","0","POSTAL","1","5","36036","JOHNSON","Philip Ian","TNL","TNL","N","Transfer Percent","-100.000"
"QLD","155","Bowman","0","POSTAL","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","5173"
"QLD","155","Bowman","0","POSTAL","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","28.540"
"QLD","155","Bowman","0","POSTAL","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","63"
"QLD","155","Bowman","0","POSTAL","1","6","37229","DUFF","Donisha Marie","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","22.030"
"QLD","155","Bowman","0","POSTAL","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Count","1978"
"QLD","155","Bowman","0","POSTAL","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Preference Percent","10.910"
"QLD","155","Bowman","0","POSTAL","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Count","590"
"QLD","155","Bowman","0","POSTAL","2","1","38218","TODD","Walter","ON","Pauline Hanson's One Nation","N","Transfer Percent","68.760"
"QLD","155","Bowman","0","POSTAL","2","2","35971","STEVENS","Mary-Jane","UAPP","United Australia Party","N","Preference Count","0"
