2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","156","Brisbane","0","ABSENT","0","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Preference Count","158"
"QLD","156","Brisbane","0","ABSENT","0","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Preference Percent","2.920"
"QLD","156","Brisbane","0","ABSENT","0","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Preference Count","185"
"QLD","156","Brisbane","0","ABSENT","0","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Preference Percent","3.420"
"QLD","156","Brisbane","0","ABSENT","0","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Preference Count","1787"
"QLD","156","Brisbane","0","ABSENT","0","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Preference Percent","33.030"
"QLD","156","Brisbane","0","ABSENT","0","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","4","37230","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1349"
"QLD","156","Brisbane","0","ABSENT","0","4","37230","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","24.940"
"QLD","156","Brisbane","0","ABSENT","0","4","37230","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","4","37230","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","5","37482","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Preference Count","1613"
"QLD","156","Brisbane","0","ABSENT","0","5","37482","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Preference Percent","29.820"
"QLD","156","Brisbane","0","ABSENT","0","5","37482","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","5","37482","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","6","38213","HOLD","Trevor Andrew","ON","Pauline Hanson's One Nation","N","Preference Count","197"
"QLD","156","Brisbane","0","ABSENT","0","6","38213","HOLD","Trevor Andrew","ON","Pauline Hanson's One Nation","N","Preference Percent","3.640"
"QLD","156","Brisbane","0","ABSENT","0","6","38213","HOLD","Trevor Andrew","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","6","38213","HOLD","Trevor Andrew","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","7","37311","BULL","Anthony William","LDP","Liberal Democratic Party","N","Preference Count","121"
"QLD","156","Brisbane","0","ABSENT","0","7","37311","BULL","Anthony William","LDP","Liberal Democratic Party","N","Preference Percent","2.240"
"QLD","156","Brisbane","0","ABSENT","0","7","37311","BULL","Anthony William","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","7","37311","BULL","Anthony William","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","1","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Preference Count","162"
"QLD","156","Brisbane","0","ABSENT","1","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Preference Percent","2.990"
"QLD","156","Brisbane","0","ABSENT","1","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Transfer Count","4"
"QLD","156","Brisbane","0","ABSENT","1","1","37204","KENNEDY","Tiana Mansari-Rose","AJP","Animal Justice Party","N","Transfer Percent","3.310"
"QLD","156","Brisbane","0","ABSENT","1","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Preference Count","202"
"QLD","156","Brisbane","0","ABSENT","1","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Preference Percent","3.730"
"QLD","156","Brisbane","0","ABSENT","1","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Transfer Count","17"
"QLD","156","Brisbane","0","ABSENT","1","2","35972","KNUDSON","Justin Marc","UAPP","United Australia Party","N","Transfer Percent","14.050"
"QLD","156","Brisbane","0","ABSENT","1","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Preference Count","1801"
"QLD","156","Brisbane","0","ABSENT","1","3","37338","BATES","Stephen James","GRN","Queensland Greens","Y","Preference Percent","33.290"
