2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","157","Capricornia","0","ABSENT","0","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Count","512"
"QLD","157","Capricornia","0","ABSENT","0","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Percent","20.420"
"QLD","157","Capricornia","0","ABSENT","0","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Count","36"
"QLD","157","Capricornia","0","ABSENT","0","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Percent","1.440"
"QLD","157","Capricornia","0","ABSENT","0","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Count","214"
"QLD","157","Capricornia","0","ABSENT","0","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Percent","8.540"
"QLD","157","Capricornia","0","ABSENT","0","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","581"
"QLD","157","Capricornia","0","ABSENT","0","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","23.180"
"QLD","157","Capricornia","0","ABSENT","0","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Count","70"
"QLD","157","Capricornia","0","ABSENT","0","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Percent","2.790"
"QLD","157","Capricornia","0","ABSENT","0","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Count","112"
"QLD","157","Capricornia","0","ABSENT","0","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Percent","4.470"
"QLD","157","Capricornia","0","ABSENT","0","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Preference Count","163"
"QLD","157","Capricornia","0","ABSENT","0","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Preference Percent","6.500"
"QLD","157","Capricornia","0","ABSENT","0","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Count","761"
"QLD","157","Capricornia","0","ABSENT","0","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.360"
"QLD","157","Capricornia","0","ABSENT","0","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","0","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Preference Count","58"
"QLD","157","Capricornia","0","ABSENT","0","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Preference Percent","2.310"
"QLD","157","Capricornia","0","ABSENT","0","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","0","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","1","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Count","527"
"QLD","157","Capricornia","0","ABSENT","1","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Percent","21.020"
"QLD","157","Capricornia","0","ABSENT","1","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Count","15"
"QLD","157","Capricornia","0","ABSENT","1","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Percent","41.670"
"QLD","157","Capricornia","0","ABSENT","1","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Count","0"
"QLD","157","Capricornia","0","ABSENT","1","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","1","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Count","-36"
"QLD","157","Capricornia","0","ABSENT","1","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Percent","-100.000"
"QLD","157","Capricornia","0","ABSENT","1","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Count","217"
"QLD","157","Capricornia","0","ABSENT","1","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Percent","8.660"
"QLD","157","Capricornia","0","ABSENT","1","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Count","3"
"QLD","157","Capricornia","0","ABSENT","1","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Percent","8.330"
"QLD","157","Capricornia","0","ABSENT","1","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","583"
"QLD","157","Capricornia","0","ABSENT","1","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","23.250"
"QLD","157","Capricornia","0","ABSENT","1","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","2"
"QLD","157","Capricornia","0","ABSENT","1","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","5.560"
"QLD","157","Capricornia","0","ABSENT","1","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Count","73"
"QLD","157","Capricornia","0","ABSENT","1","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Percent","2.910"
"QLD","157","Capricornia","0","ABSENT","1","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Count","3"
"QLD","157","Capricornia","0","ABSENT","1","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Percent","8.330"
"QLD","157","Capricornia","0","ABSENT","1","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Count","118"
"QLD","157","Capricornia","0","ABSENT","1","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Percent","4.710"
"QLD","157","Capricornia","0","ABSENT","1","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Transfer Count","6"
"QLD","157","Capricornia","0","ABSENT","1","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Transfer Percent","16.670"
"QLD","157","Capricornia","0","ABSENT","1","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Preference Count","164"
"QLD","157","Capricornia","0","ABSENT","1","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Preference Percent","6.540"
"QLD","157","Capricornia","0","ABSENT","1","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Transfer Count","1"
"QLD","157","Capricornia","0","ABSENT","1","7","35973","HARDING","Nathan Luke","UAPP","United Australia Party","N","Transfer Percent","2.780"
"QLD","157","Capricornia","0","ABSENT","1","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Count","763"
"QLD","157","Capricornia","0","ABSENT","1","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.430"
"QLD","157","Capricornia","0","ABSENT","1","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Transfer Count","2"
"QLD","157","Capricornia","0","ABSENT","1","8","37479","LANDRY","Michelle Leanne","LNP","Liberal National Party of Queensland","Y","Transfer Percent","5.560"
"QLD","157","Capricornia","0","ABSENT","1","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Preference Count","62"
"QLD","157","Capricornia","0","ABSENT","1","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Preference Percent","2.470"
"QLD","157","Capricornia","0","ABSENT","1","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Transfer Count","4"
"QLD","157","Capricornia","0","ABSENT","1","9","37586","WHITTY","Zteven John","GAP","The Great Australian Party","N","Transfer Percent","11.110"
"QLD","157","Capricornia","0","ABSENT","2","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Count","549"
"QLD","157","Capricornia","0","ABSENT","2","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Preference Percent","21.900"
"QLD","157","Capricornia","0","ABSENT","2","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Count","22"
"QLD","157","Capricornia","0","ABSENT","2","1","38216","STANTON","Kylee Jane","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.140"
"QLD","157","Capricornia","0","ABSENT","2","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Count","0"
"QLD","157","Capricornia","0","ABSENT","2","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Preference Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","2","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Count","0"
"QLD","157","Capricornia","0","ABSENT","2","2","37151","GANFIELD","Paula Gaye","IMO","Informed Medical Options Party","N","Transfer Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","2","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Count","223"
"QLD","157","Capricornia","0","ABSENT","2","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Preference Percent","8.900"
"QLD","157","Capricornia","0","ABSENT","2","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Count","6"
"QLD","157","Capricornia","0","ABSENT","2","3","37341","JONES","Michael John","GRN","Queensland Greens","N","Transfer Percent","8.220"
"QLD","157","Capricornia","0","ABSENT","2","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","594"
"QLD","157","Capricornia","0","ABSENT","2","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","23.690"
"QLD","157","Capricornia","0","ABSENT","2","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","11"
"QLD","157","Capricornia","0","ABSENT","2","4","37232","ROBERTSON","Russell Miles","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","15.070"
"QLD","157","Capricornia","0","ABSENT","2","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Count","0"
"QLD","157","Capricornia","0","ABSENT","2","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"QLD","157","Capricornia","0","ABSENT","2","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Count","-73"
"QLD","157","Capricornia","0","ABSENT","2","5","37312","MURPHY","Stephen Neil","LDP","Liberal Democratic Party","N","Transfer Percent","-100.000"
"QLD","157","Capricornia","0","ABSENT","2","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Count","128"
"QLD","157","Capricornia","0","ABSENT","2","6","28347","MURRAY","Kenneth Edward","IND","Independent","N","Preference Percent","5.110"
