2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","158","Dawson","0","ABSENT","0","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Count","882"
"QLD","158","Dawson","0","ABSENT","0","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Percent","33.420"
"QLD","158","Dawson","0","ABSENT","0","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Preference Count","452"
"QLD","158","Dawson","0","ABSENT","0","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Preference Percent","17.130"
"QLD","158","Dawson","0","ABSENT","0","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","546"
"QLD","158","Dawson","0","ABSENT","0","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.690"
"QLD","158","Dawson","0","ABSENT","0","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Preference Count","92"
"QLD","158","Dawson","0","ABSENT","0","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Preference Percent","3.490"
"QLD","158","Dawson","0","ABSENT","0","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Preference Count","163"
"QLD","158","Dawson","0","ABSENT","0","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Preference Percent","6.180"
"QLD","158","Dawson","0","ABSENT","0","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Preference Count","190"
"QLD","158","Dawson","0","ABSENT","0","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Preference Percent","7.200"
"QLD","158","Dawson","0","ABSENT","0","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Preference Count","314"
"QLD","158","Dawson","0","ABSENT","0","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Preference Percent","11.900"
"QLD","158","Dawson","0","ABSENT","0","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","1","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Count","893"
"QLD","158","Dawson","0","ABSENT","1","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Percent","33.840"
"QLD","158","Dawson","0","ABSENT","1","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Count","11"
"QLD","158","Dawson","0","ABSENT","1","1","37485","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","11.960"
"QLD","158","Dawson","0","ABSENT","1","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Preference Count","474"
"QLD","158","Dawson","0","ABSENT","1","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Preference Percent","17.960"
"QLD","158","Dawson","0","ABSENT","1","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Transfer Count","22"
"QLD","158","Dawson","0","ABSENT","1","2","38220","HALL","Julie Kay","ON","Pauline Hanson's One Nation","N","Transfer Percent","23.910"
"QLD","158","Dawson","0","ABSENT","1","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","551"
"QLD","158","Dawson","0","ABSENT","1","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.880"
"QLD","158","Dawson","0","ABSENT","1","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","5"
"QLD","158","Dawson","0","ABSENT","1","3","37234","HAMILTON","Shane Trevor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","5.430"
"QLD","158","Dawson","0","ABSENT","1","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Preference Count","0"
"QLD","158","Dawson","0","ABSENT","1","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Preference Percent","0.000"
"QLD","158","Dawson","0","ABSENT","1","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Transfer Count","-92"
"QLD","158","Dawson","0","ABSENT","1","4","36497","JACKSON","James Norman","GAP","The Great Australian Party","N","Transfer Percent","-100.000"
"QLD","158","Dawson","0","ABSENT","1","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Preference Count","187"
"QLD","158","Dawson","0","ABSENT","1","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Preference Percent","7.090"
"QLD","158","Dawson","0","ABSENT","1","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Transfer Count","24"
"QLD","158","Dawson","0","ABSENT","1","5","35974","YOUNG","Christian Nigel","UAPP","United Australia Party","N","Transfer Percent","26.090"
"QLD","158","Dawson","0","ABSENT","1","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Preference Count","213"
"QLD","158","Dawson","0","ABSENT","1","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Preference Percent","8.070"
"QLD","158","Dawson","0","ABSENT","1","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Transfer Count","23"
"QLD","158","Dawson","0","ABSENT","1","6","37289","PATERSON","Ciaron","KAP","Katter's Australian Party (KAP)","N","Transfer Percent","25.000"
"QLD","158","Dawson","0","ABSENT","1","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Preference Count","321"
"QLD","158","Dawson","0","ABSENT","1","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Preference Percent","12.160"
"QLD","158","Dawson","0","ABSENT","1","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Transfer Count","7"
"QLD","158","Dawson","0","ABSENT","1","7","37343","CREEN","Paula Jane","GRN","Queensland Greens","N","Transfer Percent","7.610"
