2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","159","Fadden","0","ABSENT","0","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Count","229"
"QLD","159","Fadden","0","ABSENT","0","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Percent","6.680"
"QLD","159","Fadden","0","ABSENT","0","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","743"
"QLD","159","Fadden","0","ABSENT","0","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","21.670"
"QLD","159","Fadden","0","ABSENT","0","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Preference Count","325"
"QLD","159","Fadden","0","ABSENT","0","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Preference Percent","9.480"
"QLD","159","Fadden","0","ABSENT","0","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Preference Count","400"
"QLD","159","Fadden","0","ABSENT","0","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Preference Percent","11.670"
"QLD","159","Fadden","0","ABSENT","0","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Preference Count","955"
"QLD","159","Fadden","0","ABSENT","0","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Preference Percent","27.850"
"QLD","159","Fadden","0","ABSENT","0","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Preference Count","636"
"QLD","159","Fadden","0","ABSENT","0","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Preference Percent","18.550"
"QLD","159","Fadden","0","ABSENT","0","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","0","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Preference Count","141"
"QLD","159","Fadden","0","ABSENT","0","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Preference Percent","4.110"
"QLD","159","Fadden","0","ABSENT","0","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","159","Fadden","0","ABSENT","0","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","159","Fadden","0","ABSENT","1","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Count","246"
"QLD","159","Fadden","0","ABSENT","1","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Percent","7.170"
"QLD","159","Fadden","0","ABSENT","1","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Count","17"
"QLD","159","Fadden","0","ABSENT","1","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Percent","12.060"
"QLD","159","Fadden","0","ABSENT","1","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","751"
"QLD","159","Fadden","0","ABSENT","1","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","21.900"
"QLD","159","Fadden","0","ABSENT","1","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","8"
"QLD","159","Fadden","0","ABSENT","1","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","5.670"
"QLD","159","Fadden","0","ABSENT","1","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Preference Count","351"
"QLD","159","Fadden","0","ABSENT","1","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Preference Percent","10.240"
"QLD","159","Fadden","0","ABSENT","1","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Transfer Count","26"
