2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","161","Fisher","0","ABSENT","0","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Preference Count","444"
"QLD","161","Fisher","0","ABSENT","0","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Preference Percent","13.580"
"QLD","161","Fisher","0","ABSENT","0","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","649"
"QLD","161","Fisher","0","ABSENT","0","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","19.850"
"QLD","161","Fisher","0","ABSENT","0","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Count","992"
"QLD","161","Fisher","0","ABSENT","0","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.350"
"QLD","161","Fisher","0","ABSENT","0","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Preference Count","136"
"QLD","161","Fisher","0","ABSENT","0","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Preference Percent","4.160"
"QLD","161","Fisher","0","ABSENT","0","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Count","740"
"QLD","161","Fisher","0","ABSENT","0","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Percent","22.640"
"QLD","161","Fisher","0","ABSENT","0","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","0","6","35978","MOORE","Tony Richard","UAPP","United Australia Party","N","Preference Count","308"
"QLD","161","Fisher","0","ABSENT","0","6","35978","MOORE","Tony Richard","UAPP","United Australia Party","N","Preference Percent","9.420"
"QLD","161","Fisher","0","ABSENT","0","6","35978","MOORE","Tony Richard","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","161","Fisher","0","ABSENT","0","6","35978","MOORE","Tony Richard","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","161","Fisher","0","ABSENT","1","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Preference Count","460"
"QLD","161","Fisher","0","ABSENT","1","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Preference Percent","14.070"
"QLD","161","Fisher","0","ABSENT","1","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"QLD","161","Fisher","0","ABSENT","1","1","38230","SCHRIEVER","Samuel Dean","ON","Pauline Hanson's One Nation","N","Transfer Percent","11.760"
"QLD","161","Fisher","0","ABSENT","1","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","667"
"QLD","161","Fisher","0","ABSENT","1","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.400"
"QLD","161","Fisher","0","ABSENT","1","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","18"
"QLD","161","Fisher","0","ABSENT","1","2","37247","ANDREWS","Judene Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","13.240"
"QLD","161","Fisher","0","ABSENT","1","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Count","1004"
"QLD","161","Fisher","0","ABSENT","1","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.710"
"QLD","161","Fisher","0","ABSENT","1","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Count","12"
"QLD","161","Fisher","0","ABSENT","1","3","37504","WALLACE","Andrew Bruce","LNP","Liberal National Party of Queensland","Y","Transfer Percent","8.820"
"QLD","161","Fisher","0","ABSENT","1","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Preference Count","0"
"QLD","161","Fisher","0","ABSENT","1","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Preference Percent","0.000"
"QLD","161","Fisher","0","ABSENT","1","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Transfer Count","-136"
"QLD","161","Fisher","0","ABSENT","1","4","37213","BRECKENRIDGE","Vickie Joy","AJP","Animal Justice Party","N","Transfer Percent","-100.000"
"QLD","161","Fisher","0","ABSENT","1","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Count","803"
"QLD","161","Fisher","0","ABSENT","1","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Preference Percent","24.560"
"QLD","161","Fisher","0","ABSENT","1","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Count","63"
"QLD","161","Fisher","0","ABSENT","1","5","37354","WELLS","Renay Amy","GRN","Queensland Greens","N","Transfer Percent","46.320"
"QLD","161","Fisher","0","ABSENT","1","6","35978","MOORE","Tony Richard","UAPP","United Australia Party","N","Preference Count","335"
