2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","311","Flynn","0","ABSENT","0","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","767"
"QLD","311","Flynn","0","ABSENT","0","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","27.070"
"QLD","311","Flynn","0","ABSENT","0","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Count","253"
"QLD","311","Flynn","0","ABSENT","0","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Percent","8.930"
"QLD","311","Flynn","0","ABSENT","0","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Count","79"
"QLD","311","Flynn","0","ABSENT","0","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Percent","2.790"
"QLD","311","Flynn","0","ABSENT","0","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Count","461"
"QLD","311","Flynn","0","ABSENT","0","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Percent","16.270"
"QLD","311","Flynn","0","ABSENT","0","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Count","166"
"QLD","311","Flynn","0","ABSENT","0","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Percent","5.860"
"QLD","311","Flynn","0","ABSENT","0","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Count","217"
"QLD","311","Flynn","0","ABSENT","0","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Percent","7.660"
"QLD","311","Flynn","0","ABSENT","0","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","0","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Count","890"
"QLD","311","Flynn","0","ABSENT","0","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.420"
"QLD","311","Flynn","0","ABSENT","0","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","0","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","1","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","777"
"QLD","311","Flynn","0","ABSENT","1","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","27.430"
"QLD","311","Flynn","0","ABSENT","1","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","10"
"QLD","311","Flynn","0","ABSENT","1","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","12.660"
"QLD","311","Flynn","0","ABSENT","1","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Count","263"
"QLD","311","Flynn","0","ABSENT","1","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Percent","9.280"
"QLD","311","Flynn","0","ABSENT","1","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Count","10"
"QLD","311","Flynn","0","ABSENT","1","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Percent","12.660"
"QLD","311","Flynn","0","ABSENT","1","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Count","0"
"QLD","311","Flynn","0","ABSENT","1","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Percent","0.000"
"QLD","311","Flynn","0","ABSENT","1","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Count","-79"
"QLD","311","Flynn","0","ABSENT","1","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Percent","-100.000"
"QLD","311","Flynn","0","ABSENT","1","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Count","496"
"QLD","311","Flynn","0","ABSENT","1","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Percent","17.510"
"QLD","311","Flynn","0","ABSENT","1","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Count","35"
"QLD","311","Flynn","0","ABSENT","1","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Percent","44.300"
"QLD","311","Flynn","0","ABSENT","1","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Count","175"
"QLD","311","Flynn","0","ABSENT","1","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Percent","6.180"
"QLD","311","Flynn","0","ABSENT","1","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Count","9"
"QLD","311","Flynn","0","ABSENT","1","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Percent","11.390"
"QLD","311","Flynn","0","ABSENT","1","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Count","232"
"QLD","311","Flynn","0","ABSENT","1","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Percent","8.190"
"QLD","311","Flynn","0","ABSENT","1","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Count","15"
"QLD","311","Flynn","0","ABSENT","1","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Percent","18.990"
"QLD","311","Flynn","0","ABSENT","1","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Count","890"
"QLD","311","Flynn","0","ABSENT","1","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.420"
"QLD","311","Flynn","0","ABSENT","1","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","1","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","2","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","925"
"QLD","311","Flynn","0","ABSENT","2","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","32.650"
"QLD","311","Flynn","0","ABSENT","2","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","148"
"QLD","311","Flynn","0","ABSENT","2","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","56.270"
"QLD","311","Flynn","0","ABSENT","2","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Count","0"
"QLD","311","Flynn","0","ABSENT","2","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","311","Flynn","0","ABSENT","2","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Count","-263"
"QLD","311","Flynn","0","ABSENT","2","2","37358","BAMBRICK","Paul Robert","GRN","Queensland Greens","N","Transfer Percent","-100.000"
"QLD","311","Flynn","0","ABSENT","2","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Count","0"
"QLD","311","Flynn","0","ABSENT","2","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Preference Percent","0.000"
"QLD","311","Flynn","0","ABSENT","2","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Count","0"
"QLD","311","Flynn","0","ABSENT","2","3","37464","SVENDSEN","Carla Louise","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"QLD","311","Flynn","0","ABSENT","2","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Count","538"
"QLD","311","Flynn","0","ABSENT","2","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Preference Percent","18.990"
"QLD","311","Flynn","0","ABSENT","2","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Count","42"
"QLD","311","Flynn","0","ABSENT","2","4","38232","LOHSE","Sharon Nevileen Jean","ON","Pauline Hanson's One Nation","N","Transfer Percent","15.970"
"QLD","311","Flynn","0","ABSENT","2","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Count","212"
"QLD","311","Flynn","0","ABSENT","2","5","17322","SCOTT","Duncan George","IND","Independent","N","Preference Percent","7.480"
"QLD","311","Flynn","0","ABSENT","2","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Count","37"
"QLD","311","Flynn","0","ABSENT","2","5","17322","SCOTT","Duncan George","IND","Independent","N","Transfer Percent","14.070"
"QLD","311","Flynn","0","ABSENT","2","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Count","250"
"QLD","311","Flynn","0","ABSENT","2","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Preference Percent","8.820"
"QLD","311","Flynn","0","ABSENT","2","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Count","18"
"QLD","311","Flynn","0","ABSENT","2","6","35979","WIEDEN","Tanya Maree","UAPP","United Australia Party","N","Transfer Percent","6.840"
"QLD","311","Flynn","0","ABSENT","2","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Count","908"
"QLD","311","Flynn","0","ABSENT","2","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Preference Percent","32.050"
"QLD","311","Flynn","0","ABSENT","2","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Count","18"
"QLD","311","Flynn","0","ABSENT","2","7","37512","BOYCE","Colin Einar","LNP","Liberal National Party of Queensland","Y","Transfer Percent","6.840"
"QLD","311","Flynn","0","ABSENT","3","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","975"
"QLD","311","Flynn","0","ABSENT","3","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","34.420"
"QLD","311","Flynn","0","ABSENT","3","1","37252","BURNETT","Matthew James","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","50"
