2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","162","Forde","0","ABSENT","0","1","35981","O'HALLORAN","Roxanne","UAPP","United Australia Party","N","Preference Count","388"
"QLD","162","Forde","0","ABSENT","0","1","35981","O'HALLORAN","Roxanne","UAPP","United Australia Party","N","Preference Percent","10.710"
"QLD","162","Forde","0","ABSENT","0","1","35981","O'HALLORAN","Roxanne","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","1","35981","O'HALLORAN","Roxanne","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","2","37507","VAN MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","Y","Preference Count","960"
"QLD","162","Forde","0","ABSENT","0","2","37507","VAN MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","Y","Preference Percent","26.490"
"QLD","162","Forde","0","ABSENT","0","2","37507","VAN MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","2","37507","VAN MANEN","Albertus Johannes","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","3","37361","HALL","Jordan Anthony","GRN","Queensland Greens","N","Preference Count","566"
"QLD","162","Forde","0","ABSENT","0","3","37361","HALL","Jordan Anthony","GRN","Queensland Greens","N","Preference Percent","15.620"
"QLD","162","Forde","0","ABSENT","0","3","37361","HALL","Jordan Anthony","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","3","37361","HALL","Jordan Anthony","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","4","36123","HOLLAND","Samuel Edward","TNL","TNL","N","Preference Count","23"
"QLD","162","Forde","0","ABSENT","0","4","36123","HOLLAND","Samuel Edward","TNL","TNL","N","Preference Percent","0.630"
"QLD","162","Forde","0","ABSENT","0","4","36123","HOLLAND","Samuel Edward","TNL","TNL","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","4","36123","HOLLAND","Samuel Edward","TNL","TNL","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","5","37258","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","930"
"QLD","162","Forde","0","ABSENT","0","5","37258","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","25.660"
"QLD","162","Forde","0","ABSENT","0","5","37258","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","5","37258","HOLZBERGER","Rowan Aubrey Victor","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","6","38214","MATTERSON","Seschelle","ON","Pauline Hanson's One Nation","N","Preference Count","377"
"QLD","162","Forde","0","ABSENT","0","6","38214","MATTERSON","Seschelle","ON","Pauline Hanson's One Nation","N","Preference Percent","10.400"
"QLD","162","Forde","0","ABSENT","0","6","38214","MATTERSON","Seschelle","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","6","38214","MATTERSON","Seschelle","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","7","37301","SUTHERLAND","Tobby Russell James","LDP","Liberal Democratic Party","N","Preference Count","116"
"QLD","162","Forde","0","ABSENT","0","7","37301","SUTHERLAND","Tobby Russell James","LDP","Liberal Democratic Party","N","Preference Percent","3.200"
"QLD","162","Forde","0","ABSENT","0","7","37301","SUTHERLAND","Tobby Russell James","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","7","37301","SUTHERLAND","Tobby Russell James","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","8","37414","GREAVES","Christopher","IND","Independent","N","Preference Count","121"
"QLD","162","Forde","0","ABSENT","0","8","37414","GREAVES","Christopher","IND","Independent","N","Preference Percent","3.340"
"QLD","162","Forde","0","ABSENT","0","8","37414","GREAVES","Christopher","IND","Independent","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","8","37414","GREAVES","Christopher","IND","Independent","N","Transfer Percent","0.000"
"QLD","162","Forde","0","ABSENT","0","9","37200","McCARTHY","Linda Mary","AJP","Animal Justice Party","N","Preference Count","143"
"QLD","162","Forde","0","ABSENT","0","9","37200","McCARTHY","Linda Mary","AJP","Animal Justice Party","N","Preference Percent","3.950"
"QLD","162","Forde","0","ABSENT","0","9","37200","McCARTHY","Linda Mary","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","162","Forde","0","ABSENT","0","9","37200","McCARTHY","Linda Mary","AJP","Animal Justice Party","N","Transfer Percent","0.000"
