2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","163","Griffith","0","ABSENT","0","1","38217","WARE","Shari Natasha","ON","Pauline Hanson's One Nation","N","Preference Count","264"
"QLD","163","Griffith","0","ABSENT","0","1","38217","WARE","Shari Natasha","ON","Pauline Hanson's One Nation","N","Preference Percent","5.800"
"QLD","163","Griffith","0","ABSENT","0","1","38217","WARE","Shari Natasha","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","1","38217","WARE","Shari Natasha","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","2","37364","CHANDLER-MATHER","Max","GRN","Queensland Greens","Y","Preference Count","1641"
"QLD","163","Griffith","0","ABSENT","0","2","37364","CHANDLER-MATHER","Max","GRN","Queensland Greens","Y","Preference Percent","36.040"
"QLD","163","Griffith","0","ABSENT","0","2","37364","CHANDLER-MATHER","Max","GRN","Queensland Greens","Y","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","2","37364","CHANDLER-MATHER","Max","GRN","Queensland Greens","Y","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","3","37262","BUTLER","Terri Megan","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","1248"
"QLD","163","Griffith","0","ABSENT","0","3","37262","BUTLER","Terri Megan","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","27.410"
"QLD","163","Griffith","0","ABSENT","0","3","37262","BUTLER","Terri Megan","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","3","37262","BUTLER","Terri Megan","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","4","35982","McMULLAN","Robert Gordon","UAPP","United Australia Party","N","Preference Count","208"
"QLD","163","Griffith","0","ABSENT","0","4","35982","McMULLAN","Robert Gordon","UAPP","United Australia Party","N","Preference Percent","4.570"
"QLD","163","Griffith","0","ABSENT","0","4","35982","McMULLAN","Robert Gordon","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","163","Griffith","0","ABSENT","0","4","35982","McMULLAN","Robert Gordon","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","163","Griffith","0","ABSENT","0","5","37465","ROBERTS","Olivia Jane","LNP","Liberal National Party of Queensland","N","Preference Count","1192"
"QLD","163","Griffith","0","ABSENT","0","5","37465","ROBERTS","Olivia Jane","LNP","Liberal National Party of Queensland","N","Preference Percent","26.180"
