2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","164","Groom","0","ABSENT","0","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Preference Count","62"
"QLD","164","Groom","0","ABSENT","0","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Preference Percent","3.150"
"QLD","164","Groom","0","ABSENT","0","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Preference Count","268"
"QLD","164","Groom","0","ABSENT","0","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Preference Percent","13.620"
"QLD","164","Groom","0","ABSENT","0","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","3","37367","BERRY","Mikaela Isabel","GRN","Queensland Greens","N","Preference Count","217"
"QLD","164","Groom","0","ABSENT","0","3","37367","BERRY","Mikaela Isabel","GRN","Queensland Greens","N","Preference Percent","11.030"
"QLD","164","Groom","0","ABSENT","0","3","37367","BERRY","Mikaela Isabel","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","3","37367","BERRY","Mikaela Isabel","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","4","35984","BANNISTER","Melissa Jay","UAPP","United Australia Party","N","Preference Count","150"
"QLD","164","Groom","0","ABSENT","0","4","35984","BANNISTER","Melissa Jay","UAPP","United Australia Party","N","Preference Percent","7.630"
"QLD","164","Groom","0","ABSENT","0","4","35984","BANNISTER","Melissa Jay","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","4","35984","BANNISTER","Melissa Jay","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","5","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Count","106"
"QLD","164","Groom","0","ABSENT","0","5","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Preference Percent","5.390"
"QLD","164","Groom","0","ABSENT","0","5","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","5","37615","SMOLENSKI","Kirsten Jane","IND","Independent","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","6","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Count","116"
"QLD","164","Groom","0","ABSENT","0","6","36178","HOLT","Suzanne Jan","IND","Independent","N","Preference Percent","5.900"
"QLD","164","Groom","0","ABSENT","0","6","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","6","36178","HOLT","Suzanne Jan","IND","Independent","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","7","37470","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Count","680"
"QLD","164","Groom","0","ABSENT","0","7","37470","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Preference Percent","34.570"
"QLD","164","Groom","0","ABSENT","0","7","37470","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","7","37470","HAMILTON","Garth Russell","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","0","8","37236","ALLPASS","Genevieve","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","368"
"QLD","164","Groom","0","ABSENT","0","8","37236","ALLPASS","Genevieve","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","18.710"
"QLD","164","Groom","0","ABSENT","0","8","37236","ALLPASS","Genevieve","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","164","Groom","0","ABSENT","0","8","37236","ALLPASS","Genevieve","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","164","Groom","0","ABSENT","1","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","164","Groom","0","ABSENT","1","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","164","Groom","0","ABSENT","1","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Transfer Count","-62"
"QLD","164","Groom","0","ABSENT","1","1","37777","OTTO","Ryan Jay","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"QLD","164","Groom","0","ABSENT","1","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Preference Count","305"
"QLD","164","Groom","0","ABSENT","1","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Preference Percent","15.510"
"QLD","164","Groom","0","ABSENT","1","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Transfer Count","37"
"QLD","164","Groom","0","ABSENT","1","2","38219","ABRAHAM","Grant Renaud","ON","Pauline Hanson's One Nation","N","Transfer Percent","59.680"
"QLD","164","Groom","0","ABSENT","1","3","37367","BERRY","Mikaela Isabel","GRN","Queensland Greens","N","Preference Count","221"
