2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","165","Herbert","0","ABSENT","0","1","37167","McMAHON","Toni Louise","IMO","Informed Medical Options Party","N","Preference Count","66"
"QLD","165","Herbert","0","ABSENT","0","1","37167","McMAHON","Toni Louise","IMO","Informed Medical Options Party","N","Preference Percent","3.300"
"QLD","165","Herbert","0","ABSENT","0","1","37167","McMAHON","Toni Louise","IMO","Informed Medical Options Party","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","1","37167","McMAHON","Toni Louise","IMO","Informed Medical Options Party","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","2","37239","RING","John Douglas","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","388"
"QLD","165","Herbert","0","ABSENT","0","2","37239","RING","John Douglas","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","19.410"
"QLD","165","Herbert","0","ABSENT","0","2","37239","RING","John Douglas","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","2","37239","RING","John Douglas","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","3","37330","HUMPHREYS","Scott Lewis","GRN","Queensland Greens","N","Preference Count","249"
"QLD","165","Herbert","0","ABSENT","0","3","37330","HUMPHREYS","Scott Lewis","GRN","Queensland Greens","N","Preference Percent","12.460"
"QLD","165","Herbert","0","ABSENT","0","3","37330","HUMPHREYS","Scott Lewis","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","3","37330","HUMPHREYS","Scott Lewis","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","4","37720","BALLARD","Larna Kim","GAP","The Great Australian Party","N","Preference Count","33"
"QLD","165","Herbert","0","ABSENT","0","4","37720","BALLARD","Larna Kim","GAP","The Great Australian Party","N","Preference Percent","1.650"
"QLD","165","Herbert","0","ABSENT","0","4","37720","BALLARD","Larna Kim","GAP","The Great Australian Party","N","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","4","37720","BALLARD","Larna Kim","GAP","The Great Australian Party","N","Transfer Percent","0.000"
"QLD","165","Herbert","0","ABSENT","0","5","37471","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Count","686"
"QLD","165","Herbert","0","ABSENT","0","5","37471","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Preference Percent","34.320"
"QLD","165","Herbert","0","ABSENT","0","5","37471","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","165","Herbert","0","ABSENT","0","5","37471","THOMPSON","Phillip","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
