2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","166","Hinkler","0","ABSENT","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","540"
"QLD","166","Hinkler","0","ABSENT","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","30.080"
"QLD","166","Hinkler","0","ABSENT","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","170"
"QLD","166","Hinkler","0","ABSENT","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","9.470"
"QLD","166","Hinkler","0","ABSENT","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","245"
"QLD","166","Hinkler","0","ABSENT","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","13.650"
"QLD","166","Hinkler","0","ABSENT","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","376"
"QLD","166","Hinkler","0","ABSENT","0","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.950"
"QLD","166","Hinkler","0","ABSENT","0","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","203"
"QLD","166","Hinkler","0","ABSENT","0","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","11.310"
"QLD","166","Hinkler","0","ABSENT","0","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","0","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Count","261"
"QLD","166","Hinkler","0","ABSENT","0","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Percent","14.540"
"QLD","166","Hinkler","0","ABSENT","0","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","0","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","1","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","557"
"QLD","166","Hinkler","0","ABSENT","1","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.030"
"QLD","166","Hinkler","0","ABSENT","1","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","17"
"QLD","166","Hinkler","0","ABSENT","1","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","8.370"
"QLD","166","Hinkler","0","ABSENT","1","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","183"
"QLD","166","Hinkler","0","ABSENT","1","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","10.190"
"QLD","166","Hinkler","0","ABSENT","1","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","13"
"QLD","166","Hinkler","0","ABSENT","1","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","6.400"
"QLD","166","Hinkler","0","ABSENT","1","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","266"
"QLD","166","Hinkler","0","ABSENT","1","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","14.820"
"QLD","166","Hinkler","0","ABSENT","1","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Count","21"
"QLD","166","Hinkler","0","ABSENT","1","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Percent","10.340"
"QLD","166","Hinkler","0","ABSENT","1","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","461"
"QLD","166","Hinkler","0","ABSENT","1","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","25.680"
"QLD","166","Hinkler","0","ABSENT","1","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","85"
"QLD","166","Hinkler","0","ABSENT","1","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","41.870"
"QLD","166","Hinkler","0","ABSENT","1","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","1","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","1","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","-203"
"QLD","166","Hinkler","0","ABSENT","1","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","-100.000"
"QLD","166","Hinkler","0","ABSENT","1","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Count","328"
"QLD","166","Hinkler","0","ABSENT","1","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Percent","18.270"
"QLD","166","Hinkler","0","ABSENT","1","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Count","67"
"QLD","166","Hinkler","0","ABSENT","1","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Percent","33.000"
"QLD","166","Hinkler","0","ABSENT","2","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","587"
"QLD","166","Hinkler","0","ABSENT","2","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","32.700"
"QLD","166","Hinkler","0","ABSENT","2","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","30"
"QLD","166","Hinkler","0","ABSENT","2","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","16.390"
"QLD","166","Hinkler","0","ABSENT","2","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","2","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","2","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","-183"
"QLD","166","Hinkler","0","ABSENT","2","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","-100.000"
"QLD","166","Hinkler","0","ABSENT","2","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","367"
"QLD","166","Hinkler","0","ABSENT","2","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","20.450"
"QLD","166","Hinkler","0","ABSENT","2","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Count","101"
"QLD","166","Hinkler","0","ABSENT","2","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Percent","55.190"
"QLD","166","Hinkler","0","ABSENT","2","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","477"
"QLD","166","Hinkler","0","ABSENT","2","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","26.570"
"QLD","166","Hinkler","0","ABSENT","2","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","16"
"QLD","166","Hinkler","0","ABSENT","2","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","8.740"
"QLD","166","Hinkler","0","ABSENT","2","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","2","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","2","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","2","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","2","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Count","364"
"QLD","166","Hinkler","0","ABSENT","2","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Percent","20.280"
"QLD","166","Hinkler","0","ABSENT","2","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Count","36"
"QLD","166","Hinkler","0","ABSENT","2","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Percent","19.670"
"QLD","166","Hinkler","0","ABSENT","3","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","705"
"QLD","166","Hinkler","0","ABSENT","3","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","39.280"
"QLD","166","Hinkler","0","ABSENT","3","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","118"
"QLD","166","Hinkler","0","ABSENT","3","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","32.150"
"QLD","166","Hinkler","0","ABSENT","3","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","3","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","3","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","3","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","3","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","3","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","3","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Count","-367"
"QLD","166","Hinkler","0","ABSENT","3","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"QLD","166","Hinkler","0","ABSENT","3","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","525"
"QLD","166","Hinkler","0","ABSENT","3","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","29.250"
"QLD","166","Hinkler","0","ABSENT","3","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","48"
"QLD","166","Hinkler","0","ABSENT","3","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","13.080"
"QLD","166","Hinkler","0","ABSENT","3","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","3","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","3","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","3","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","3","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Count","565"
"QLD","166","Hinkler","0","ABSENT","3","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Percent","31.480"
"QLD","166","Hinkler","0","ABSENT","3","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Count","201"
"QLD","166","Hinkler","0","ABSENT","3","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Percent","54.770"
"QLD","166","Hinkler","0","ABSENT","4","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","980"
"QLD","166","Hinkler","0","ABSENT","4","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","54.600"
"QLD","166","Hinkler","0","ABSENT","4","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","275"
"QLD","166","Hinkler","0","ABSENT","4","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","48.670"
"QLD","166","Hinkler","0","ABSENT","4","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","4","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","4","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","4","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","4","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","815"
"QLD","166","Hinkler","0","ABSENT","4","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","45.400"
"QLD","166","Hinkler","0","ABSENT","4","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","290"
"QLD","166","Hinkler","0","ABSENT","4","4","37242","SCANES","Jason Ronald","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","51.330"
"QLD","166","Hinkler","0","ABSENT","4","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","4","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","166","Hinkler","0","ABSENT","4","5","37335","McLEAN","Andrew John","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Count","0"
"QLD","166","Hinkler","0","ABSENT","4","6","36247","DEMPSEY","John Mark","IND","Independent","N","Preference Percent","0.000"
"QLD","166","Hinkler","0","ABSENT","4","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Count","-565"
"QLD","166","Hinkler","0","ABSENT","4","6","36247","DEMPSEY","John Mark","IND","Independent","N","Transfer Percent","-100.000"
"QLD","166","Hinkler","0","POSTAL","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Count","7493"
"QLD","166","Hinkler","0","POSTAL","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Preference Percent","49.750"
"QLD","166","Hinkler","0","POSTAL","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","166","Hinkler","0","POSTAL","0","1","37476","PITT","Keith John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","166","Hinkler","0","POSTAL","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Count","662"
"QLD","166","Hinkler","0","POSTAL","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Preference Percent","4.400"
"QLD","166","Hinkler","0","POSTAL","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","166","Hinkler","0","POSTAL","0","2","35986","NASH","Kristie","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","166","Hinkler","0","POSTAL","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Count","1136"
"QLD","166","Hinkler","0","POSTAL","0","3","38223","MENHENNETT","Zak Jeffery William","ON","Pauline Hanson's One Nation","N","Preference Percent","7.540"
