2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","167","Kennedy","0","ABSENT","0","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Count","1138"
"QLD","167","Kennedy","0","ABSENT","0","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Percent","40.560"
"QLD","167","Kennedy","0","ABSENT","0","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Count","624"
"QLD","167","Kennedy","0","ABSENT","0","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Percent","22.240"
"QLD","167","Kennedy","0","ABSENT","0","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Count","94"
"QLD","167","Kennedy","0","ABSENT","0","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Percent","3.350"
"QLD","167","Kennedy","0","ABSENT","0","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Count","288"
"QLD","167","Kennedy","0","ABSENT","0","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Percent","10.260"
"QLD","167","Kennedy","0","ABSENT","0","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","460"
"QLD","167","Kennedy","0","ABSENT","0","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","16.390"
"QLD","167","Kennedy","0","ABSENT","0","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","0","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Preference Count","202"
"QLD","167","Kennedy","0","ABSENT","0","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Preference Percent","7.200"
"QLD","167","Kennedy","0","ABSENT","0","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","0","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","1","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Count","1168"
"QLD","167","Kennedy","0","ABSENT","1","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Percent","41.630"
"QLD","167","Kennedy","0","ABSENT","1","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Count","30"
"QLD","167","Kennedy","0","ABSENT","1","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Percent","31.910"
"QLD","167","Kennedy","0","ABSENT","1","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Count","635"
"QLD","167","Kennedy","0","ABSENT","1","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Percent","22.630"
"QLD","167","Kennedy","0","ABSENT","1","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Count","11"
"QLD","167","Kennedy","0","ABSENT","1","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Percent","11.700"
"QLD","167","Kennedy","0","ABSENT","1","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Count","0"
"QLD","167","Kennedy","0","ABSENT","1","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","1","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Count","-94"
"QLD","167","Kennedy","0","ABSENT","1","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Percent","-100.000"
"QLD","167","Kennedy","0","ABSENT","1","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Count","310"
"QLD","167","Kennedy","0","ABSENT","1","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Percent","11.050"
"QLD","167","Kennedy","0","ABSENT","1","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Count","22"
"QLD","167","Kennedy","0","ABSENT","1","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Percent","23.400"
"QLD","167","Kennedy","0","ABSENT","1","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","467"
"QLD","167","Kennedy","0","ABSENT","1","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","16.640"
"QLD","167","Kennedy","0","ABSENT","1","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","7"
"QLD","167","Kennedy","0","ABSENT","1","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","7.450"
"QLD","167","Kennedy","0","ABSENT","1","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Preference Count","226"
"QLD","167","Kennedy","0","ABSENT","1","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Preference Percent","8.050"
"QLD","167","Kennedy","0","ABSENT","1","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Transfer Count","24"
"QLD","167","Kennedy","0","ABSENT","1","6","35991","CAMPION","Peter Ray","UAPP","United Australia Party","N","Transfer Percent","25.530"
"QLD","167","Kennedy","0","ABSENT","2","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Count","1305"
"QLD","167","Kennedy","0","ABSENT","2","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Preference Percent","46.510"
"QLD","167","Kennedy","0","ABSENT","2","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Count","137"
"QLD","167","Kennedy","0","ABSENT","2","1","37304","KATTER","Robert Carl","KAP","Katter's Australian Party (KAP)","Y","Transfer Percent","60.620"
"QLD","167","Kennedy","0","ABSENT","2","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Count","666"
"QLD","167","Kennedy","0","ABSENT","2","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Preference Percent","23.730"
"QLD","167","Kennedy","0","ABSENT","2","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Count","31"
"QLD","167","Kennedy","0","ABSENT","2","2","37474","MACDONALD","Bryce Donald","LNP","Liberal National Party of Queensland","N","Transfer Percent","13.720"
"QLD","167","Kennedy","0","ABSENT","2","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Count","0"
"QLD","167","Kennedy","0","ABSENT","2","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Preference Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","2","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Count","0"
"QLD","167","Kennedy","0","ABSENT","2","3","36118","SACKLEY","Jeanette Ivy","IND","Independent","N","Transfer Percent","0.000"
"QLD","167","Kennedy","0","ABSENT","2","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Count","351"
"QLD","167","Kennedy","0","ABSENT","2","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Preference Percent","12.510"
"QLD","167","Kennedy","0","ABSENT","2","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Count","41"
"QLD","167","Kennedy","0","ABSENT","2","4","37339","COX","Jennifer Ann","GRN","Queensland Greens","N","Transfer Percent","18.140"
"QLD","167","Kennedy","0","ABSENT","2","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","484"
"QLD","167","Kennedy","0","ABSENT","2","5","37249","BRANDON","Jason Paul","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","17.250"
