2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","169","Lilley","0","ABSENT","0","1","35998","HOOGLAND","Gerardine Louise","UAPP","United Australia Party","N","Preference Count","230"
"QLD","169","Lilley","0","ABSENT","0","1","35998","HOOGLAND","Gerardine Louise","UAPP","United Australia Party","N","Preference Percent","6.040"
"QLD","169","Lilley","0","ABSENT","0","1","35998","HOOGLAND","Gerardine Louise","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","1","35998","HOOGLAND","Gerardine Louise","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","2","37344","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Preference Count","1007"
"QLD","169","Lilley","0","ABSENT","0","2","37344","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Preference Percent","26.440"
"QLD","169","Lilley","0","ABSENT","0","2","37344","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","2","37344","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","3","37488","LOBO","Vivian Rakesh","LNP","Liberal National Party of Queensland","N","Preference Count","878"
"QLD","169","Lilley","0","ABSENT","0","3","37488","LOBO","Vivian Rakesh","LNP","Liberal National Party of Queensland","N","Preference Percent","23.060"
"QLD","169","Lilley","0","ABSENT","0","3","37488","LOBO","Vivian Rakesh","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","3","37488","LOBO","Vivian Rakesh","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","4","37161","McGRATH","Stephen Keith","IMO","Informed Medical Options Party","N","Preference Count","79"
"QLD","169","Lilley","0","ABSENT","0","4","37161","McGRATH","Stephen Keith","IMO","Informed Medical Options Party","N","Preference Percent","2.070"
"QLD","169","Lilley","0","ABSENT","0","4","37161","McGRATH","Stephen Keith","IMO","Informed Medical Options Party","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","4","37161","McGRATH","Stephen Keith","IMO","Informed Medical Options Party","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","5","37305","FRESHWATER","Daniel James","LDP","Liberal Democratic Party","N","Preference Count","125"
"QLD","169","Lilley","0","ABSENT","0","5","37305","FRESHWATER","Daniel James","LDP","Liberal Democratic Party","N","Preference Percent","3.280"
"QLD","169","Lilley","0","ABSENT","0","5","37305","FRESHWATER","Daniel James","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","5","37305","FRESHWATER","Daniel James","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
