2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","170","Maranoa","0","ABSENT","0","1","37498","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Preference Count","1154"
"QLD","170","Maranoa","0","ABSENT","0","1","37498","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Preference Percent","46.250"
"QLD","170","Maranoa","0","ABSENT","0","1","37498","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","1","37498","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","2","37785","RICHARDSON","Malcolm Jeffrey","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","188"
"QLD","170","Maranoa","0","ABSENT","0","2","37785","RICHARDSON","Malcolm Jeffrey","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","7.540"
"QLD","170","Maranoa","0","ABSENT","0","2","37785","RICHARDSON","Malcolm Jeffrey","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","2","37785","RICHARDSON","Malcolm Jeffrey","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","3","37246","KERRIGAN","David Barry","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","380"
"QLD","170","Maranoa","0","ABSENT","0","3","37246","KERRIGAN","David Barry","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","15.230"
"QLD","170","Maranoa","0","ABSENT","0","3","37246","KERRIGAN","David Barry","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","3","37246","KERRIGAN","David Barry","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","4","36002","McDONALD","Nathan John","UAPP","United Australia Party","N","Preference Count","172"
"QLD","170","Maranoa","0","ABSENT","0","4","36002","McDONALD","Nathan John","UAPP","United Australia Party","N","Preference Percent","6.890"
"QLD","170","Maranoa","0","ABSENT","0","4","36002","McDONALD","Nathan John","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","4","36002","McDONALD","Nathan John","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","5","37351","PARKER","Ellisa Katherine","GRN","Queensland Greens","N","Preference Count","189"
"QLD","170","Maranoa","0","ABSENT","0","5","37351","PARKER","Ellisa Katherine","GRN","Queensland Greens","N","Preference Percent","7.580"
"QLD","170","Maranoa","0","ABSENT","0","5","37351","PARKER","Ellisa Katherine","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","5","37351","PARKER","Ellisa Katherine","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","6","38231","KELLY","Mike Zacharay","ON","Pauline Hanson's One Nation","N","Preference Count","390"
"QLD","170","Maranoa","0","ABSENT","0","6","38231","KELLY","Mike Zacharay","ON","Pauline Hanson's One Nation","N","Preference Percent","15.630"
"QLD","170","Maranoa","0","ABSENT","0","6","38231","KELLY","Mike Zacharay","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","6","38231","KELLY","Mike Zacharay","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","7","37673","TUNBRIDGE","Brett James","CYA","Australian Federation Party","N","Preference Count","22"
"QLD","170","Maranoa","0","ABSENT","0","7","37673","TUNBRIDGE","Brett James","CYA","Australian Federation Party","N","Preference Percent","0.880"
"QLD","170","Maranoa","0","ABSENT","0","7","37673","TUNBRIDGE","Brett James","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","7","37673","TUNBRIDGE","Brett James","CYA","Australian Federation Party","N","Transfer Percent","0.000"
