2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","171","McPherson","0","ABSENT","0","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Count","843"
"QLD","171","McPherson","0","ABSENT","0","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.060"
"QLD","171","McPherson","0","ABSENT","0","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Count","298"
"QLD","171","McPherson","0","ABSENT","0","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Percent","10.980"
"QLD","171","McPherson","0","ABSENT","0","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Count","32"
"QLD","171","McPherson","0","ABSENT","0","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Percent","1.180"
"QLD","171","McPherson","0","ABSENT","0","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Count","580"
"QLD","171","McPherson","0","ABSENT","0","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Percent","21.370"
"QLD","171","McPherson","0","ABSENT","0","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Count","52"
"QLD","171","McPherson","0","ABSENT","0","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Percent","1.920"
"QLD","171","McPherson","0","ABSENT","0","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Preference Count","242"
"QLD","171","McPherson","0","ABSENT","0","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Preference Percent","8.920"
"QLD","171","McPherson","0","ABSENT","0","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Preference Count","101"
"QLD","171","McPherson","0","ABSENT","0","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Preference Percent","3.720"
"QLD","171","McPherson","0","ABSENT","0","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","0","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","566"
"QLD","171","McPherson","0","ABSENT","0","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.850"
"QLD","171","McPherson","0","ABSENT","0","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","0","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","1","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Count","844"
"QLD","171","McPherson","0","ABSENT","1","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.100"
"QLD","171","McPherson","0","ABSENT","1","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Count","1"
"QLD","171","McPherson","0","ABSENT","1","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Percent","3.130"
"QLD","171","McPherson","0","ABSENT","1","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Count","307"
"QLD","171","McPherson","0","ABSENT","1","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Percent","11.310"
"QLD","171","McPherson","0","ABSENT","1","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Count","9"
"QLD","171","McPherson","0","ABSENT","1","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Percent","28.130"
"QLD","171","McPherson","0","ABSENT","1","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","171","McPherson","0","ABSENT","1","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","171","McPherson","0","ABSENT","1","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Count","-32"
"QLD","171","McPherson","0","ABSENT","1","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"QLD","171","McPherson","0","ABSENT","1","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Count","588"
"QLD","171","McPherson","0","ABSENT","1","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Percent","21.670"
"QLD","171","McPherson","0","ABSENT","1","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Count","8"
"QLD","171","McPherson","0","ABSENT","1","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Percent","25.000"
"QLD","171","McPherson","0","ABSENT","1","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Count","63"
"QLD","171","McPherson","0","ABSENT","1","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Percent","2.320"
"QLD","171","McPherson","0","ABSENT","1","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Count","11"
"QLD","171","McPherson","0","ABSENT","1","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Percent","34.380"
"QLD","171","McPherson","0","ABSENT","1","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Preference Count","244"
"QLD","171","McPherson","0","ABSENT","1","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Preference Percent","8.990"
"QLD","171","McPherson","0","ABSENT","1","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Transfer Count","2"
"QLD","171","McPherson","0","ABSENT","1","6","36000","BERRIGAN","Joshua Lawrence","UAPP","United Australia Party","N","Transfer Percent","6.250"
"QLD","171","McPherson","0","ABSENT","1","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Preference Count","102"
"QLD","171","McPherson","0","ABSENT","1","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Preference Percent","3.760"
"QLD","171","McPherson","0","ABSENT","1","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Transfer Count","1"
"QLD","171","McPherson","0","ABSENT","1","7","37303","PYNE","Glenn Raymond","LDP","Liberal Democratic Party","N","Transfer Percent","3.130"
"QLD","171","McPherson","0","ABSENT","1","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","566"
"QLD","171","McPherson","0","ABSENT","1","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.850"
"QLD","171","McPherson","0","ABSENT","1","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","1","8","37260","UNGERER","Carl John","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","2","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Count","872"
"QLD","171","McPherson","0","ABSENT","2","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Preference Percent","32.130"
"QLD","171","McPherson","0","ABSENT","2","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Count","28"
"QLD","171","McPherson","0","ABSENT","2","1","37494","ANDREWS","Karen Lesley","LNP","Liberal National Party of Queensland","Y","Transfer Percent","27.450"
"QLD","171","McPherson","0","ABSENT","2","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Count","323"
"QLD","171","McPherson","0","ABSENT","2","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Preference Percent","11.900"
"QLD","171","McPherson","0","ABSENT","2","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"QLD","171","McPherson","0","ABSENT","2","2","38229","HARGRAVES","Kevin John","ON","Pauline Hanson's One Nation","N","Transfer Percent","15.690"
"QLD","171","McPherson","0","ABSENT","2","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","171","McPherson","0","ABSENT","2","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","171","McPherson","0","ABSENT","2","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","171","McPherson","0","ABSENT","2","3","37763","PEAD","Gary James","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","171","McPherson","0","ABSENT","2","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Count","602"
"QLD","171","McPherson","0","ABSENT","2","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Preference Percent","22.180"
"QLD","171","McPherson","0","ABSENT","2","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Count","14"
"QLD","171","McPherson","0","ABSENT","2","4","37355","TURNER","Scott James","GRN","Queensland Greens","N","Transfer Percent","13.730"
"QLD","171","McPherson","0","ABSENT","2","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Count","68"
"QLD","171","McPherson","0","ABSENT","2","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Preference Percent","2.510"
"QLD","171","McPherson","0","ABSENT","2","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Count","5"
"QLD","171","McPherson","0","ABSENT","2","5","37381","CULLEN","Andrew Thomas","AUVA","Australian Values Party","N","Transfer Percent","4.900"
