2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","172","Moncrieff","0","ABSENT","0","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Count","963"
"QLD","172","Moncrieff","0","ABSENT","0","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Percent","29.290"
"QLD","172","Moncrieff","0","ABSENT","0","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Count","334"
"QLD","172","Moncrieff","0","ABSENT","0","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Percent","10.160"
"QLD","172","Moncrieff","0","ABSENT","0","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Count","45"
"QLD","172","Moncrieff","0","ABSENT","0","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Percent","1.370"
"QLD","172","Moncrieff","0","ABSENT","0","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Count","128"
"QLD","172","Moncrieff","0","ABSENT","0","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Percent","3.890"
"QLD","172","Moncrieff","0","ABSENT","0","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Count","696"
"QLD","172","Moncrieff","0","ABSENT","0","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Percent","21.170"
"QLD","172","Moncrieff","0","ABSENT","0","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","678"
"QLD","172","Moncrieff","0","ABSENT","0","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.620"
"QLD","172","Moncrieff","0","ABSENT","0","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Preference Count","108"
"QLD","172","Moncrieff","0","ABSENT","0","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Preference Percent","3.280"
"QLD","172","Moncrieff","0","ABSENT","0","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Preference Count","58"
"QLD","172","Moncrieff","0","ABSENT","0","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Preference Percent","1.760"
"QLD","172","Moncrieff","0","ABSENT","0","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","0","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Preference Count","278"
"QLD","172","Moncrieff","0","ABSENT","0","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Preference Percent","8.450"
"QLD","172","Moncrieff","0","ABSENT","0","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","0","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","1","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Count","971"
"QLD","172","Moncrieff","0","ABSENT","1","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Percent","29.530"
"QLD","172","Moncrieff","0","ABSENT","1","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Count","8"
"QLD","172","Moncrieff","0","ABSENT","1","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Percent","17.780"
"QLD","172","Moncrieff","0","ABSENT","1","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Count","343"
"QLD","172","Moncrieff","0","ABSENT","1","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Percent","10.430"
"QLD","172","Moncrieff","0","ABSENT","1","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Count","9"
"QLD","172","Moncrieff","0","ABSENT","1","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Percent","20.000"
"QLD","172","Moncrieff","0","ABSENT","1","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","172","Moncrieff","0","ABSENT","1","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","1","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Count","-45"
"QLD","172","Moncrieff","0","ABSENT","1","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"QLD","172","Moncrieff","0","ABSENT","1","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Count","133"
"QLD","172","Moncrieff","0","ABSENT","1","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Percent","4.050"
"QLD","172","Moncrieff","0","ABSENT","1","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Count","5"
"QLD","172","Moncrieff","0","ABSENT","1","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Percent","11.110"
"QLD","172","Moncrieff","0","ABSENT","1","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Count","701"
"QLD","172","Moncrieff","0","ABSENT","1","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Percent","21.320"
"QLD","172","Moncrieff","0","ABSENT","1","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Count","5"
"QLD","172","Moncrieff","0","ABSENT","1","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Percent","11.110"
"QLD","172","Moncrieff","0","ABSENT","1","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","683"
"QLD","172","Moncrieff","0","ABSENT","1","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.770"
"QLD","172","Moncrieff","0","ABSENT","1","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","5"
"QLD","172","Moncrieff","0","ABSENT","1","6","37250","PALMER","Glen Steven","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","11.110"
"QLD","172","Moncrieff","0","ABSENT","1","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Preference Count","112"
"QLD","172","Moncrieff","0","ABSENT","1","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Preference Percent","3.410"
"QLD","172","Moncrieff","0","ABSENT","1","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Transfer Count","4"
"QLD","172","Moncrieff","0","ABSENT","1","7","37297","DEMETRE","Diane","LDP","Liberal Democratic Party","N","Transfer Percent","8.890"
"QLD","172","Moncrieff","0","ABSENT","1","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Preference Count","63"
"QLD","172","Moncrieff","0","ABSENT","1","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Preference Percent","1.920"
"QLD","172","Moncrieff","0","ABSENT","1","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Transfer Count","5"
"QLD","172","Moncrieff","0","ABSENT","1","8","37162","CUDMORE","Timothy Gregory","IMO","Informed Medical Options Party","N","Transfer Percent","11.110"
"QLD","172","Moncrieff","0","ABSENT","1","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Preference Count","282"
"QLD","172","Moncrieff","0","ABSENT","1","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Preference Percent","8.580"
"QLD","172","Moncrieff","0","ABSENT","1","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Transfer Count","4"
"QLD","172","Moncrieff","0","ABSENT","1","9","36010","HAPP","Diane Olga","UAPP","United Australia Party","N","Transfer Percent","8.890"
"QLD","172","Moncrieff","0","ABSENT","2","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Count","975"
"QLD","172","Moncrieff","0","ABSENT","2","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Preference Percent","29.650"
"QLD","172","Moncrieff","0","ABSENT","2","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Count","4"
"QLD","172","Moncrieff","0","ABSENT","2","1","37501","BELL","Angie Marion","LNP","Liberal National Party of Queensland","Y","Transfer Percent","6.350"
"QLD","172","Moncrieff","0","ABSENT","2","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Count","354"
"QLD","172","Moncrieff","0","ABSENT","2","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Preference Percent","10.770"
"QLD","172","Moncrieff","0","ABSENT","2","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Count","11"
"QLD","172","Moncrieff","0","ABSENT","2","2","38233","SCHULTZ","Leeanne Mary","ON","Pauline Hanson's One Nation","N","Transfer Percent","17.460"
"QLD","172","Moncrieff","0","ABSENT","2","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","172","Moncrieff","0","ABSENT","2","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","2","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","172","Moncrieff","0","ABSENT","2","3","37609","TAYLER","James Grahame","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","172","Moncrieff","0","ABSENT","2","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Count","147"
"QLD","172","Moncrieff","0","ABSENT","2","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Preference Percent","4.470"
"QLD","172","Moncrieff","0","ABSENT","2","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Count","14"
"QLD","172","Moncrieff","0","ABSENT","2","4","37197","BERRY-LAW","Sonia Michelle","AJP","Animal Justice Party","N","Transfer Percent","22.220"
"QLD","172","Moncrieff","0","ABSENT","2","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Count","708"
"QLD","172","Moncrieff","0","ABSENT","2","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Preference Percent","21.530"
"QLD","172","Moncrieff","0","ABSENT","2","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Count","7"
"QLD","172","Moncrieff","0","ABSENT","2","5","37359","BROADBENT","April Gillian","GRN","Queensland Greens","N","Transfer Percent","11.110"
