2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","173","Moreton","0","ABSENT","0","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Preference Count","86"
"QLD","173","Moreton","0","ABSENT","0","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Preference Percent","2.510"
"QLD","173","Moreton","0","ABSENT","0","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","0","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Preference Count","213"
"QLD","173","Moreton","0","ABSENT","0","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Preference Percent","6.220"
"QLD","173","Moreton","0","ABSENT","0","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","0","3","37253","PERRETT","Graham Douglas","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1069"
"QLD","173","Moreton","0","ABSENT","0","3","37253","PERRETT","Graham Douglas","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","31.190"
"QLD","173","Moreton","0","ABSENT","0","3","37253","PERRETT","Graham Douglas","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","3","37253","PERRETT","Graham Douglas","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","0","4","37363","GARTON","Claire Amelia","GRN","Queensland Greens","N","Preference Count","1074"
"QLD","173","Moreton","0","ABSENT","0","4","37363","GARTON","Claire Amelia","GRN","Queensland Greens","N","Preference Percent","31.340"
"QLD","173","Moreton","0","ABSENT","0","4","37363","GARTON","Claire Amelia","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","4","37363","GARTON","Claire Amelia","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","0","5","37468","HUANG","Wen-Yi Steven","LNP","Liberal National Party of Queensland","N","Preference Count","795"
"QLD","173","Moreton","0","ABSENT","0","5","37468","HUANG","Wen-Yi Steven","LNP","Liberal National Party of Queensland","N","Preference Percent","23.200"
"QLD","173","Moreton","0","ABSENT","0","5","37468","HUANG","Wen-Yi Steven","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","5","37468","HUANG","Wen-Yi Steven","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","0","6","36006","FOLLETT","Chelsea","UAPP","United Australia Party","N","Preference Count","190"
"QLD","173","Moreton","0","ABSENT","0","6","36006","FOLLETT","Chelsea","UAPP","United Australia Party","N","Preference Percent","5.540"
"QLD","173","Moreton","0","ABSENT","0","6","36006","FOLLETT","Chelsea","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","173","Moreton","0","ABSENT","0","6","36006","FOLLETT","Chelsea","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","173","Moreton","0","ABSENT","1","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","173","Moreton","0","ABSENT","1","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","173","Moreton","0","ABSENT","1","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Transfer Count","-86"
"QLD","173","Moreton","0","ABSENT","1","1","37834","POWER","Peter Stanton","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"QLD","173","Moreton","0","ABSENT","1","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Preference Count","255"
"QLD","173","Moreton","0","ABSENT","1","2","38235","SWANN","Neil Robert","ON","Pauline Hanson's One Nation","N","Preference Percent","7.440"
