2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","174","Oxley","0","ABSENT","0","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Count","274"
"QLD","174","Oxley","0","ABSENT","0","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Percent","8.500"
"QLD","174","Oxley","0","ABSENT","0","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Count","719"
"QLD","174","Oxley","0","ABSENT","0","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Percent","22.320"
"QLD","174","Oxley","0","ABSENT","0","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Count","729"
"QLD","174","Oxley","0","ABSENT","0","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Percent","22.630"
"QLD","174","Oxley","0","ABSENT","0","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Count","265"
"QLD","174","Oxley","0","ABSENT","0","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Percent","8.220"
"QLD","174","Oxley","0","ABSENT","0","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1235"
"QLD","174","Oxley","0","ABSENT","0","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","38.330"
"QLD","174","Oxley","0","ABSENT","0","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","1","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","1","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","1","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Count","-274"
"QLD","174","Oxley","0","ABSENT","1","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Percent","-100.000"
"QLD","174","Oxley","0","ABSENT","1","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Count","803"
"QLD","174","Oxley","0","ABSENT","1","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Percent","24.920"
"QLD","174","Oxley","0","ABSENT","1","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Count","84"
"QLD","174","Oxley","0","ABSENT","1","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Percent","30.660"
"QLD","174","Oxley","0","ABSENT","1","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Count","782"
"QLD","174","Oxley","0","ABSENT","1","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Percent","24.270"
"QLD","174","Oxley","0","ABSENT","1","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Count","53"
"QLD","174","Oxley","0","ABSENT","1","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Percent","19.340"
"QLD","174","Oxley","0","ABSENT","1","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Count","367"
"QLD","174","Oxley","0","ABSENT","1","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Percent","11.390"
"QLD","174","Oxley","0","ABSENT","1","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Count","102"
"QLD","174","Oxley","0","ABSENT","1","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Percent","37.230"
"QLD","174","Oxley","0","ABSENT","1","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1270"
"QLD","174","Oxley","0","ABSENT","1","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","39.420"
"QLD","174","Oxley","0","ABSENT","1","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","35"
"QLD","174","Oxley","0","ABSENT","1","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","12.770"
"QLD","174","Oxley","0","ABSENT","2","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","2","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","2","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","2","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","2","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Count","923"
"QLD","174","Oxley","0","ABSENT","2","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Percent","28.650"
"QLD","174","Oxley","0","ABSENT","2","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Count","120"
"QLD","174","Oxley","0","ABSENT","2","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Percent","32.700"
"QLD","174","Oxley","0","ABSENT","2","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Count","940"
"QLD","174","Oxley","0","ABSENT","2","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Preference Percent","29.170"
"QLD","174","Oxley","0","ABSENT","2","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Count","158"
"QLD","174","Oxley","0","ABSENT","2","3","37693","MCMILLEN","Kyle Luke","LNP","Liberal National Party of Queensland","N","Transfer Percent","43.050"
"QLD","174","Oxley","0","ABSENT","2","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","2","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","2","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Count","-367"
"QLD","174","Oxley","0","ABSENT","2","4","38237","KOZLOWSKI","Dylan George","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"QLD","174","Oxley","0","ABSENT","2","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1359"
"QLD","174","Oxley","0","ABSENT","2","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","42.180"
"QLD","174","Oxley","0","ABSENT","2","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","89"
"QLD","174","Oxley","0","ABSENT","2","5","37259","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","24.250"
"QLD","174","Oxley","0","ABSENT","3","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","3","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","3","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","3","1","36011","COOMBES","Timothy","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","3","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","3","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","3","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Count","-923"
"QLD","174","Oxley","0","ABSENT","3","2","37366","WORSTELING","Asha Joy","GRN","Queensland Greens","N","Transfer Percent","-100.000"
