2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","175","Petrie","0","ABSENT","0","1","36008","GUENOUN","Kelly Anne","UAPP","United Australia Party","N","Preference Count","260"
"QLD","175","Petrie","0","ABSENT","0","1","36008","GUENOUN","Kelly Anne","UAPP","United Australia Party","N","Preference Percent","7.670"
"QLD","175","Petrie","0","ABSENT","0","1","36008","GUENOUN","Kelly Anne","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","1","36008","GUENOUN","Kelly Anne","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","2","37328","SIMON","William Robert","GRN","Queensland Greens","N","Preference Count","635"
"QLD","175","Petrie","0","ABSENT","0","2","37328","SIMON","William Robert","GRN","Queensland Greens","N","Preference Percent","18.720"
"QLD","175","Petrie","0","ABSENT","0","2","37328","SIMON","William Robert","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","2","37328","SIMON","William Robert","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","3","37308","WILSON","Anneke Jane","LDP","Liberal Democratic Party","N","Preference Count","139"
"QLD","175","Petrie","0","ABSENT","0","3","37308","WILSON","Anneke Jane","LDP","Liberal Democratic Party","N","Preference Percent","4.100"
"QLD","175","Petrie","0","ABSENT","0","3","37308","WILSON","Anneke Jane","LDP","Liberal Democratic Party","N","Transfer Count","0"
"QLD","175","Petrie","0","ABSENT","0","3","37308","WILSON","Anneke Jane","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"QLD","175","Petrie","0","ABSENT","0","4","38239","MITCHELL","Marcus","ON","Pauline Hanson's One Nation","N","Preference Count","281"
"QLD","175","Petrie","0","ABSENT","0","4","38239","MITCHELL","Marcus","ON","Pauline Hanson's One Nation","N","Preference Percent","8.280"
"QLD","175","Petrie","0","ABSENT","0","4","38239","MITCHELL","Marcus","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
