2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","176","Rankin","0","ABSENT","0","1","37491","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Count","616"
"QLD","176","Rankin","0","ABSENT","0","1","37491","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Percent","22.270"
"QLD","176","Rankin","0","ABSENT","0","1","37491","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","1","37491","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","2","37369","COTTER","Neil Thomas","GRN","Queensland Greens","N","Preference Count","501"
"QLD","176","Rankin","0","ABSENT","0","2","37369","COTTER","Neil Thomas","GRN","Queensland Greens","N","Preference Percent","18.110"
"QLD","176","Rankin","0","ABSENT","0","2","37369","COTTER","Neil Thomas","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","2","37369","COTTER","Neil Thomas","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","3","36013","CRANK","Jeffrey Michael","UAPP","United Australia Party","N","Preference Count","234"
"QLD","176","Rankin","0","ABSENT","0","3","36013","CRANK","Jeffrey Michael","UAPP","United Australia Party","N","Preference Percent","8.460"
"QLD","176","Rankin","0","ABSENT","0","3","36013","CRANK","Jeffrey Michael","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","3","36013","CRANK","Jeffrey Michael","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","4","38234","COOKSON","Glen Fletcher","ON","Pauline Hanson's One Nation","N","Preference Count","285"
"QLD","176","Rankin","0","ABSENT","0","4","38234","COOKSON","Glen Fletcher","ON","Pauline Hanson's One Nation","N","Preference Percent","10.300"
"QLD","176","Rankin","0","ABSENT","0","4","38234","COOKSON","Glen Fletcher","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","4","38234","COOKSON","Glen Fletcher","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","5","37201","CLARKE","Suzanne Marie","AJP","Animal Justice Party","N","Preference Count","114"
"QLD","176","Rankin","0","ABSENT","0","5","37201","CLARKE","Suzanne Marie","AJP","Animal Justice Party","N","Preference Percent","4.120"
"QLD","176","Rankin","0","ABSENT","0","5","37201","CLARKE","Suzanne Marie","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","5","37201","CLARKE","Suzanne Marie","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","6","37263","CHALMERS","James Edward","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1016"
