2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","316","Wright","0","ABSENT","0","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Count","1470"
"QLD","316","Wright","0","ABSENT","0","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Percent","32.090"
"QLD","316","Wright","0","ABSENT","0","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Preference Count","471"
"QLD","316","Wright","0","ABSENT","0","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Preference Percent","10.280"
"QLD","316","Wright","0","ABSENT","0","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Preference Count","760"
"QLD","316","Wright","0","ABSENT","0","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Preference Percent","16.590"
"QLD","316","Wright","0","ABSENT","0","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Preference Count","88"
"QLD","316","Wright","0","ABSENT","0","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Preference Percent","1.920"
"QLD","316","Wright","0","ABSENT","0","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","954"
"QLD","316","Wright","0","ABSENT","0","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","20.830"
"QLD","316","Wright","0","ABSENT","0","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","0","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Count","838"
"QLD","316","Wright","0","ABSENT","0","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Percent","18.290"
"QLD","316","Wright","0","ABSENT","0","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","316","Wright","0","ABSENT","0","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","316","Wright","0","ABSENT","1","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Count","1478"
"QLD","316","Wright","0","ABSENT","1","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Preference Percent","32.260"
"QLD","316","Wright","0","ABSENT","1","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Count","8"
"QLD","316","Wright","0","ABSENT","1","1","37500","BUCHHOLZ","Scott Andrew","LNP","Liberal National Party of Queensland","Y","Transfer Percent","9.090"
"QLD","316","Wright","0","ABSENT","1","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Preference Count","500"
"QLD","316","Wright","0","ABSENT","1","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Preference Percent","10.910"
"QLD","316","Wright","0","ABSENT","1","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Transfer Count","29"
"QLD","316","Wright","0","ABSENT","1","2","36014","DUFFILL","Cassandra Deanne","UAPP","United Australia Party","N","Transfer Percent","32.950"
"QLD","316","Wright","0","ABSENT","1","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Preference Count","786"
"QLD","316","Wright","0","ABSENT","1","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Preference Percent","17.160"
"QLD","316","Wright","0","ABSENT","1","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Transfer Count","26"
"QLD","316","Wright","0","ABSENT","1","3","38240","HICKS","Keith Brian","ON","Pauline Hanson's One Nation","N","Transfer Percent","29.550"
"QLD","316","Wright","0","ABSENT","1","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Preference Count","0"
"QLD","316","Wright","0","ABSENT","1","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Preference Percent","0.000"
"QLD","316","Wright","0","ABSENT","1","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Transfer Count","-88"
"QLD","316","Wright","0","ABSENT","1","4","37737","BANASIAK","Shonna-Lee","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"QLD","316","Wright","0","ABSENT","1","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","965"
"QLD","316","Wright","0","ABSENT","1","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","21.070"
"QLD","316","Wright","0","ABSENT","1","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","11"
"QLD","316","Wright","0","ABSENT","1","5","37270","McCREADIE","Pamela Dorothy","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","12.500"
"QLD","316","Wright","0","ABSENT","1","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Count","852"
"QLD","316","Wright","0","ABSENT","1","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Preference Percent","18.600"
"QLD","316","Wright","0","ABSENT","1","6","37372","THOMPSON","Nicole Marcelle Louise","GRN","Queensland Greens","N","Transfer Count","14"
