DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyNm,PartyAb,TotalVotes
318,Bean,Sean,CONWAY,1,N,United Australia Party,UAPP,2831
318,Bean,Benjamin,AMBARD,2,N,Pauline Hanson's One Nation,ON,2680
318,Bean,David,SMITH,3,Y,Australian Labor Party,ALP,41060
318,Bean,Jamie,CHRISTIE,4,N,Independent,IND,8023
318,Bean,Kathryn Jane,SAVERY,5,N,The Greens,GRN,14559
318,Bean,Jane,HIATT,6,N,Liberal,LP,29241
318,Bean,Informal,Informal,999,N,Independent,,2915
101,Canberra,Catherine,SMITH,1,N,United Australia Party,UAPP,1687
101,Canberra,James,MILES,2,N,Pauline Hanson's One Nation,ON,1531
101,Canberra,Tim,BOHM,3,N,Independent,IND,4772
101,Canberra,Slade,MINSON,4,N,Liberal,LP,20102
101,Canberra,Tim,HOLLO,5,N,The Greens,GRN,22795
101,Canberra,Alicia,PAYNE,6,Y,Australian Labor Party,ALP,41435
101,Canberra,Informal,Informal,999,N,Independent,,1668
102,Fenner,Andrew,LEIGH,1,Y,Australian Labor Party,ALP,44100
102,Fenner,Nathan,KUSTER,2,N,Liberal,LP,25416
102,Fenner,Timothy Peter,ELTON,3,N,United Australia Party,UAPP,2346
102,Fenner,Lucia,GRANT,4,N,Pauline Hanson's One Nation,ON,2419
102,Fenner,Natasa,SOJIC,5,N,The Greens,GRN,15294
102,Fenner,Guy,JAKEMAN,6,N,Liberal Democrats,LDP,1706
102,Fenner,Informal,Informal,999,N,Independent,,2533
103,Banks,David,COLEMAN,1,Y,Liberal,LP,41622
103,Banks,Elouise Ivy,COCKER,2,N,Liberal Democrats,LDP,1264
103,Banks,Marika,MOMIRCEVSKI,3,N,United Australia Party,UAPP,5048
103,Banks,Natalie,HANNA,4,N,The Greens,GRN,8063
103,Banks,Steve,KHOUW,5,N,Independent,NAFD,961
103,Banks,Malcolm Phillip,HEFFERNAN,6,N,Pauline Hanson's One Nation,ON,2628
103,Banks,Zhi,SOON,7,N,Labor,ALP,32459
103,Banks,Informal,Informal,999,N,Independent,,6550
104,Barton,Linda,BURNEY,1,Y,Labor,ALP,46206
104,Barton,Dimitri,HONOS,2,N,United Australia Party,UAPP,5611
104,Barton,Taylor,VANDIJK,3,N,The Greens,GRN,11441
104,Barton,John,GOODY,4,N,Liberal,LP,23992
104,Barton,Phillip,POLLARD,5,N,Pauline Hanson's One Nation,ON,4373
104,Barton,Informal,Informal,999,N,Independent,,7405
105,Bennelong,John,AUGUST,1,N,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,2125
105,Bennelong,Tony,ADAMS,2,N,The Greens,GRN,11395
105,Bennelong,Dougal,CAMERON,3,N,Liberal Democrats,LDP,1539
105,Bennelong,Simon,KENNEDY,4,N,Liberal,LP,41206
105,Bennelong,Rhys Ian,COLLYER,5,N,United Australia Party,UAPP,2915
105,Bennelong,Victor,WATERSON,6,N,Pauline Hanson's One Nation,ON,1664
105,Bennelong,Jerome,LAXALE,7,Y,Labor,ALP,37596
105,Bennelong,Kyinzom,DHONGDUE,8,N,Democratic Alliance,DPDA,1208
105,Bennelong,Informal,Informal,999,N,Independent,,6130
106,Berowra,Nicholas,SAMIOS,1,N,Liberal Democrats,LDP,2307
106,Berowra,Tania,SALITRA,2,N,The Greens,GRN,14536
106,Berowra,Rhiannon,BOSMA,3,N,Pauline Hanson's One Nation,ON,2972
106,Berowra,Julian,LEESER,4,Y,Liberal,LP,45797
106,Berowra,Brendan Michael,CLARKE,5,N,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,1418
106,Berowra,Benson,KOSCHINSKI,6,N,Labor,ALP,20746
106,Berowra,David James,LOUIE,7,N,Australian Federation Party,CYA,509
106,Berowra,Roger,WOODWARD,8,N,Independent,IND,904
106,Berowra,Christopher,MARTINIC,9,N,United Australia Party,UAPP,2315
106,Berowra,Benjamin,CASWELL,10,N,Independent,IND,1802
106,Berowra,Informal,Informal,999,N,Independent,,6083
107,Blaxland,Adam,STEPANOFF,1,N,Pauline Hanson's One Nation,ON,4421
107,Blaxland,Oz,GUNEY,2,N,Liberal,LP,22059
107,Blaxland,Linda,EISLER,3,N,The Greens,GRN,5187
107,Blaxland,Jason,CLARE,4,Y,Labor,ALP,44905
107,Blaxland,Elvis,SINOSIC,5,N,United Australia Party,UAPP,5105
107,Blaxland,Informal,Informal,999,N,Independent,,9884
108,Bradfield,Nicolette,BOELE,1,N,Independent,IND,20198
108,Bradfield,David Gordon,BRIGDEN,2,N,Labor,ALP,16902
108,Bradfield,Martin,COUSINS,3,N,The Greens,GRN,8960
108,Bradfield,Janine,KITSON,4,N,Independent,IND,3018
108,Bradfield,Paul,FLETCHER,6,Y,Liberal,LP,43562
108,Bradfield,Michael,LOWE,7,N,Pauline Hanson's One Nation,ON,1568
108,Bradfield,Informal,Informal,999,N,Independent,,3616
109,Calare,Kate,HOOK,1,N,Independent,IND,21891
109,Calare,Stacey,WHITTAKER,2,N,Pauline Hanson's One Nation,ON,9057
109,Calare,Kay,NANKERVIS,3,N,The Greens,GRN,4891
109,Calare,Sarah,ELLIOTT,4,N,Labor,ALP,16252
109,Calare,Andrew,GEE,5,Y,The Nationals,NP,51161
109,Calare,Adam John,JANNIS,6,N,United Australia Party,UAPP,4067
109,Calare,Informal,Informal,999,N,Independent,,4455
111,Chifley,Amit,BATISH,1,N,Pauline Hanson's One Nation,ON,6034
111,Chifley,Zvetanka,RASKOV,2,N,United Australia Party,UAPP,5149
111,Chifley,Ammar,KHAN,3,N,Independent,IND,1839
111,Chifley,Ben,ROUGHLEY,4,N,Liberal Democrats,LDP,3263
111,Chifley,Sujan,SELVENTHIRAN,5,N,The Greens,GRN,5622
111,Chifley,Jugandeep,SINGH,6,N,Liberal,LP,24046
111,Chifley,Ed,HUSIC,7,Y,Labor,ALP,51236
111,Chifley,Informal,Informal,999,N,Independent,,9471
112,Cook,Gaye,CAMERON,1,N,Pauline Hanson's One Nation,ON,4985
112,Cook,Catherine,DYSON,2,N,The Greens,GRN,9685
112,Cook,Scott,MORRISON,3,Y,Liberal,LP,54322
112,Cook,Jacqueline,GUINANE,4,N,United Australia Party,UAPP,4381
112,Cook,Simon,EARLE,5,N,Labor,ALP,24444
112,Cook,Informal,Informal,999,N,Independent,,4498
113,Cowper,Faye,ASPIOTIS,1,N,Pauline Hanson's One Nation,ON,9047
113,Cowper,Keith,McMULLEN,2,N,Labor,ALP,15566
113,Cowper,Pat,CONAGHAN,3,Y,The Nationals,NP,43909
113,Cowper,Caz,HEISE,4,N,Independent,IND,29206
113,Cowper,Simon,CHASELING,5,N,Liberal Democrats,LDP,4316
113,Cowper,Joshua Stephen,FAIRHALL,6,N,United Australia Party,UAPP,2674
113,Cowper,Timothy,NOTT,7,N,The Greens,GRN,6518
113,Cowper,Informal,Informal,999,N,Independent,,5770
114,Cunningham,Marcus,UREN,1,N,Liberal,LP,25418
114,Cunningham,Ben,BRITTON,2,N,United Australia Party,UAPP,4936
114,Cunningham,Alison,BYRNES,3,Y,Labor,ALP,40783
114,Cunningham,Alexis,GARNAUT-MILLER,4,N,Citizens Party,CEC,1098
114,Cunningham,Dylan,GREEN,5,N,The Greens,GRN,22011
114,Cunningham,Michael,GLOVER,6,N,Liberal Democrats,LDP,2207
114,Cunningham,Thomas,GROGAN,7,N,Pauline Hanson's One Nation,ON,5218
114,Cunningham,Informal,Informal,999,N,Independent,,5514
115,Dobell,Geoff,BARNES,1,N,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,2202
115,Dobell,Dean James,MACKIN,2,N,United Australia Party,UAPP,3818
115,Dobell,Michael,FENELEY,3,N,Liberal,LP,34276
115,Dobell,Cath,CONNOR,4,N,The Greens,GRN,8700
115,Dobell,Martin,STEVENSON,5,N,Pauline Hanson's One Nation,ON,7583
115,Dobell,Eliot,METHERELL,6,N,Liberal Democrats,LDP,1543
115,Dobell,Emma,McBRIDE,7,Y,Labor,ALP,43595
115,Dobell,Informal,Informal,999,N,Independent,,4930
117,Eden-Monaro,James,HOLGATE,1,N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,2260
117,Eden-Monaro,Maxwell,HOLMES,2,N,Liberal Democrats,LDP,2625
117,Eden-Monaro,Kristy,McBAIN,3,Y,Labor,ALP,43215
117,Eden-Monaro,Greg,BUTLER,4,N,Australian Democrats,AUD,651
117,Eden-Monaro,Darren Scott,GARNON,5,N,United Australia Party,UAPP,2566
117,Eden-Monaro,Jerry,NOCKLES,6,N,Liberal,LP,33520
117,Eden-Monaro,Vivian,HARRIS,7,N,The Greens,GRN,9376
117,Eden-Monaro,Toni,McLENNAN,8,N,Informed Medical Options Party,IMO,909
117,Eden-Monaro,Andrew,THALER,9,N,Independent,IND,2044
117,Eden-Monaro,Boyd,SHANNON,10,N,Pauline Hanson's One Nation,ON,4351
117,Eden-Monaro,Informal,Informal,999,N,Independent,,7083
118,Farrer,Eli,DAVERN,1,N,The Greens,GRN,9163
118,Farrer,Sussan,LEY,2,Y,Liberal,LP,52566
118,Farrer,Amanda,DUNCAN-STRELEC,3,N,Independent,IND,3189
118,Farrer,Paul,BRITTON,4,N,"Shooters, Fishers and Farmers Party",ASP,5339
118,Farrer,Ian Christopher,ROWORTH,5,N,Liberal Democrats,LDP,1595
118,Farrer,Richard,FRANCIS,6,N,Pauline Hanson's One Nation,ON,6363
118,Farrer,Julie,RAMOS,7,N,United Australia Party,UAPP,3270
118,Farrer,Darren Michael,CAMERON,8,N,Labor,ALP,19097
118,Farrer,Informal,Informal,999,N,Independent,,8256
119,Fowler,Kristina,KENEALLY,1,N,Labor,ALP,30973
119,Fowler,Lela Lepa,PANICH,2,N,United Australia Party,UAPP,5512
119,Fowler,Peter Ronald,RUNGE,3,N,Liberal Democrats,LDP,2094
119,Fowler,Dai,LE,4,Y,Independent,IND,25346
119,Fowler,Courtney,NGUYEN,5,N,Liberal,LP,14740
119,Fowler,Tony,MARGOS,6,N,Pauline Hanson's One Nation,ON,3047
119,Fowler,Avery,HOWARD,7,N,The Greens,GRN,4191
119,Fowler,Informal,Informal,999,N,Independent,,10098
120,Gilmore,Andrew,CONSTANCE,1,N,Liberal,LP,46941
120,Gilmore,Nina,DIGIGLIO,2,N,Independent,IND,4721
120,Gilmore,Carmel,McCALLUM,3,N,The Greens,GRN,11417
120,Gilmore,Jordan Lindsay,MALONEY,4,N,United Australia Party,UAPP,3108
120,Gilmore,Jerremy,EID,5,N,Pauline Hanson's One Nation,ON,4453
120,Gilmore,Adrian,FADINI,6,N,Liberal Democrats,LDP,890
120,Gilmore,Fiona,PHILLIPS,7,Y,Labor,ALP,40175
