DivisionNm,HoverTPPDetailedBr,HoverTPPDetailedstring
Bean,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Bean<br>Winner: Australian Labor Party (David, SMITH)<br>Number of Candidates: 6<br>Number of Formal Votes: 101,309<br>Number of Informal Votes: 2,915 (2.88%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>UAPP:     2.79%     2,831<br>ON:     2.65%     2,680<br>ALP:     40.53%     41,060<br>IND:     7.92%     8,023<br>GRN:     14.37%     14,559<br>LP:     28.86%     29,241<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     46.47%     45,720<br>GRN:     19.22%     18,911<br>LP:     34.31%     33,763<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 18911 GRN<br>(There was a margin of 7,426 votes between GRN and LP)<br>------------------------------------------------------------<br>GRN -> ALP:     85.74%     16,215<br>GRN -> LP:     14.26%     2,696<br>------------------------------------------------------------<br>ALP:     62.95%     61,935<br>LP:     37.05%     36,459<br>The winner is ALP with a margin of 12,738 votes over LP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Bean
Winner: Australian Labor Party (David, SMITH)
Number of Candidates: 6
Number of Formal Votes: 101,309
Number of Informal Votes: 2,915 (2.88%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
UAPP:     2.79%     2,831
ON:     2.65%     2,680
ALP:     40.53%     41,060
IND:     7.92%     8,023
GRN:     14.37%     14,559
LP:     28.86%     29,241
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     46.47%     45,720
GRN:     19.22%     18,911
LP:     34.31%     33,763
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 18911 GRN
(There was a margin of 7,426 votes between GRN and LP)
------------------------------------------------------------
GRN -> ALP:     85.74%     16,215
GRN -> LP:     14.26%     2,696
------------------------------------------------------------
ALP:     62.95%     61,935
LP:     37.05%     36,459
The winner is ALP with a margin of 12,738 votes over LP
"
Canberra,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Canberra<br>Winner: Australian Labor Party (Alicia, PAYNE)<br>Number of Candidates: 6<br>Number of Formal Votes: 93,990<br>Number of Informal Votes: 1,668 (1.77%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>UAPP:     1.79%     1,687<br>ON:     1.63%     1,531<br>IND:     5.08%     4,772<br>LP:     21.39%     20,102<br>GRN:     24.25%     22,795<br>ALP:     44.08%     41,435<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 0 First Pref<br>(There was a margin of 0 votes between  and )<br>------------------------------------------------------------<br>First Pref -> UAPP:     0%     0<br>First Pref -> ON:     0%     0<br>First Pref -> IND:     0%     0<br>First Pref -> LP:     0%     0<br>First Pref -> GRN:     0%     0<br>First Pref -> ALP:     0%     0<br>UAPP:     1.83%     1,687<br>ON:     1.66%     1,531<br>IND:     5.17%     4,772<br>LP:     21.77%     20,102<br>GRN:     24.69%     22,795<br>ALP:     44.88%     41,435<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1531 ON<br>(There was a margin of 78 votes between ON and UAPP)<br>------------------------------------------------------------<br>ON -> UAPP:     56.11%     859<br>ON -> IND:     13.39%     205<br>ON -> LP:     19.79%     303<br>ON -> GRN:     4.31%     66<br>ON -> ALP:     6.4%     98<br>UAPP:     2.76%     2,546<br>IND:     5.39%     4,977<br>LP:     22.1%     20,405<br>GRN:     24.76%     22,861<br>ALP:     44.99%     41,533<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2546 UAPP<br>(There was a margin of 1,215 votes between UAPP and IND)<br>------------------------------------------------------------<br>UAPP -> IND:     51.02%     1,299<br>UAPP -> LP:     33.19%     845<br>UAPP -> GRN:     6.64%     169<br>UAPP -> ALP:     9.15%     233<br>IND:     6.8%     6,276<br>LP:     23.02%     21,250<br>GRN:     24.95%     23,030<br>ALP:     45.24%     41,766<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 6276 IND<br>(There was a margin of 7,487 votes between IND and LP)<br>------------------------------------------------------------<br>IND -> LP:     34.1%     2,140<br>IND -> GRN:     38.13%     2,393<br>IND -> ALP:     27.77%     1,743<br>LP:     25.34%     23,390<br>GRN:     27.54%     25,423<br>ALP:     47.13%     43,509<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 23390 LP<br>(There was a margin of 1,016 votes between LP and GRN)<br>------------------------------------------------------------<br>LP -> GRN:     40.52%     9,478<br>LP -> ALP:     59.48%     13,912<br>------------------------------------------------------------<br>GRN:     37.8%     34,901<br>ALP:     62.2%     57,421<br>The winner is ALP with a margin of 11,260 votes over GRN<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Canberra
Winner: Australian Labor Party (Alicia, PAYNE)
Number of Candidates: 6
Number of Formal Votes: 93,990
Number of Informal Votes: 1,668 (1.77%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
UAPP:     1.79%     1,687
ON:     1.63%     1,531
IND:     5.08%     4,772
LP:     21.39%     20,102
GRN:     24.25%     22,795
ALP:     44.08%     41,435
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 0 First Pref
(There was a margin of 0 votes between  and )
------------------------------------------------------------
First Pref -> UAPP:     0%     0
First Pref -> ON:     0%     0
First Pref -> IND:     0%     0
First Pref -> LP:     0%     0
First Pref -> GRN:     0%     0
First Pref -> ALP:     0%     0
UAPP:     1.83%     1,687
ON:     1.66%     1,531
IND:     5.17%     4,772
LP:     21.77%     20,102
GRN:     24.69%     22,795
ALP:     44.88%     41,435
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1531 ON
(There was a margin of 78 votes between ON and UAPP)
------------------------------------------------------------
ON -> UAPP:     56.11%     859
ON -> IND:     13.39%     205
ON -> LP:     19.79%     303
ON -> GRN:     4.31%     66
ON -> ALP:     6.4%     98
UAPP:     2.76%     2,546
IND:     5.39%     4,977
LP:     22.1%     20,405
GRN:     24.76%     22,861
ALP:     44.99%     41,533
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2546 UAPP
(There was a margin of 1,215 votes between UAPP and IND)
------------------------------------------------------------
UAPP -> IND:     51.02%     1,299
UAPP -> LP:     33.19%     845
UAPP -> GRN:     6.64%     169
UAPP -> ALP:     9.15%     233
IND:     6.8%     6,276
LP:     23.02%     21,250
GRN:     24.95%     23,030
ALP:     45.24%     41,766
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 6276 IND
(There was a margin of 7,487 votes between IND and LP)
------------------------------------------------------------
IND -> LP:     34.1%     2,140
IND -> GRN:     38.13%     2,393
IND -> ALP:     27.77%     1,743
LP:     25.34%     23,390
GRN:     27.54%     25,423
ALP:     47.13%     43,509
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 23390 LP
(There was a margin of 1,016 votes between LP and GRN)
------------------------------------------------------------
LP -> GRN:     40.52%     9,478
LP -> ALP:     59.48%     13,912
------------------------------------------------------------
GRN:     37.8%     34,901
ALP:     62.2%     57,421
The winner is ALP with a margin of 11,260 votes over GRN
"
Fenner,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Fenner<br>Winner: Australian Labor Party (Andrew, LEIGH)<br>Number of Candidates: 6<br>Number of Formal Votes: 93,814<br>Number of Informal Votes: 2,533 (2.7%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ALP:     47.01%     44,100<br>LP:     27.09%     25,416<br>UAPP:     2.5%     2,346<br>ON:     2.58%     2,419<br>GRN:     16.3%     15,294<br>LDP:     1.82%     1,706<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     49.88%     45,529<br>LP:     31.57%     28,813<br>GRN:     18.56%     16,939<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 16939 GRN<br>(There was a margin of 5,937 votes between GRN and LP)<br>------------------------------------------------------------<br>GRN -> ALP:     85.23%     14,437<br>GRN -> LP:     14.77%     2,502<br>------------------------------------------------------------<br>ALP:     65.69%     59,966<br>LP:     34.31%     31,315<br>The winner is ALP with a margin of 14,325 votes over LP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Fenner
Winner: Australian Labor Party (Andrew, LEIGH)
Number of Candidates: 6
Number of Formal Votes: 93,814
Number of Informal Votes: 2,533 (2.7%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ALP:     47.01%     44,100
LP:     27.09%     25,416
UAPP:     2.5%     2,346
ON:     2.58%     2,419
GRN:     16.3%     15,294
LDP:     1.82%     1,706
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     49.88%     45,529
LP:     31.57%     28,813
GRN:     18.56%     16,939
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 16939 GRN
(There was a margin of 5,937 votes between GRN and LP)
------------------------------------------------------------
GRN -> ALP:     85.23%     14,437
GRN -> LP:     14.77%     2,502
------------------------------------------------------------
ALP:     65.69%     59,966
LP:     34.31%     31,315
The winner is ALP with a margin of 14,325 votes over LP
"
Banks,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Banks<br>Winner: Liberal (David, COLEMAN)<br>Number of Candidates: 7<br>Number of Formal Votes: 98,595<br>Number of Informal Votes: 6,550 (6.64%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LP:     42.22%     41,622<br>LDP:     1.28%     1,264<br>UAPP:     5.12%     5,048<br>GRN:     8.18%     8,063<br>NAFD:     0.97%     961<br>ON:     2.67%     2,628<br>ALP:     32.92%     32,459<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LP:     50.71%     46,678<br>GRN:     11.21%     10,318<br>ALP:     38.08%     35,049<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 10318 GRN<br>(There was a margin of 12,365 votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LP:     22.2%     2,291<br>GRN -> ALP:     77.8%     8,027<br>------------------------------------------------------------<br>LP:     53.2%     48,969<br>ALP:     46.8%     43,076<br>The winner is LP with a margin of 2,946 votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Banks
Winner: Liberal (David, COLEMAN)
Number of Candidates: 7
Number of Formal Votes: 98,595
Number of Informal Votes: 6,550 (6.64%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LP:     42.22%     41,622
LDP:     1.28%     1,264
UAPP:     5.12%     5,048
GRN:     8.18%     8,063
NAFD:     0.97%     961
ON:     2.67%     2,628
ALP:     32.92%     32,459
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LP:     50.71%     46,678
GRN:     11.21%     10,318
ALP:     38.08%     35,049
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 10318 GRN
(There was a margin of 12,365 votes between GRN and ALP)
------------------------------------------------------------
GRN -> LP:     22.2%     2,291
GRN -> ALP:     77.8%     8,027
------------------------------------------------------------
LP:     53.2%     48,969
ALP:     46.8%     43,076
The winner is LP with a margin of 2,946 votes over ALP
"
Barton,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Barton<br>Winner: Labor (Linda, BURNEY)<br>Number of Candidates: 5<br>Number of Formal Votes: 99,028<br>Number of Informal Votes: 7,405 (7.48%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ALP:     46.66%     46,206<br>UAPP:     5.67%     5,611<br>GRN:     11.55%     11,441<br>LP:     24.23%     23,992<br>ON:     4.42%     4,373<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     53.23%     48,772<br>GRN:     14.94%     13,688<br>LP:     31.83%     29,163<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 13688 GRN<br>(There was a margin of 7,737 votes between GRN and LP)<br>------------------------------------------------------------<br>GRN -> ALP:     82.42%     11,282<br>GRN -> LP:     17.58%     2,406<br>------------------------------------------------------------<br>ALP:     65.54%     60,054<br>LP:     34.46%     31,569<br>The winner is ALP with a margin of 14,242 votes over LP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Barton
Winner: Labor (Linda, BURNEY)
Number of Candidates: 5
Number of Formal Votes: 99,028
Number of Informal Votes: 7,405 (7.48%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ALP:     46.66%     46,206
UAPP:     5.67%     5,611
GRN:     11.55%     11,441
LP:     24.23%     23,992
ON:     4.42%     4,373
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     53.23%     48,772
GRN:     14.94%     13,688
LP:     31.83%     29,163
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 13688 GRN
(There was a margin of 7,737 votes between GRN and LP)
------------------------------------------------------------
GRN -> ALP:     82.42%     11,282
GRN -> LP:     17.58%     2,406
------------------------------------------------------------
ALP:     65.54%     60,054
LP:     34.46%     31,569
The winner is ALP with a margin of 14,242 votes over LP
"
Bennelong,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Bennelong<br>Winner: Labor (Jerome, LAXALE)<br>Number of Candidates: 8<br>Number of Formal Votes: 105,778<br>Number of Informal Votes: 6,130 (5.8%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>SOPA:     2.01%     2,125<br>GRN:     10.77%     11,395<br>LDP:     1.45%     1,539<br>LP:     38.96%     41,206<br>UAPP:     2.76%     2,915<br>ON:     1.57%     1,664<br>ALP:     35.54%     37,596<br>DPDA:     1.14%     1,208<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     14.71%     14,662<br>LP:     45.68%     45,516<br>ALP:     39.61%     39,470<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 14662 GRN<br>(There was a margin of 12,404 votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LP:     22.72%     3,331<br>GRN -> ALP:     77.28%     11,331<br>------------------------------------------------------------<br>LP:     49.02%     48,847<br>ALP:     50.98%     50,801<br>The winner is ALP with a margin of 977 votes over LP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Bennelong
Winner: Labor (Jerome, LAXALE)
Number of Candidates: 8
Number of Formal Votes: 105,778
Number of Informal Votes: 6,130 (5.8%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
SOPA:     2.01%     2,125
GRN:     10.77%     11,395
LDP:     1.45%     1,539
LP:     38.96%     41,206
UAPP:     2.76%     2,915
ON:     1.57%     1,664
ALP:     35.54%     37,596
DPDA:     1.14%     1,208
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     14.71%     14,662
LP:     45.68%     45,516
ALP:     39.61%     39,470
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 14662 GRN
(There was a margin of 12,404 votes between GRN and ALP)
------------------------------------------------------------
GRN -> LP:     22.72%     3,331
GRN -> ALP:     77.28%     11,331
------------------------------------------------------------
LP:     49.02%     48,847
ALP:     50.98%     50,801
The winner is ALP with a margin of 977 votes over LP
"
Berowra,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Berowra<br>Winner: Liberal (Julian, LEESER)<br>Number of Candidates: 10<br>Number of Formal Votes: 99,389<br>Number of Informal Votes: 6,083 (6.12%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LDP:     2.32%     2,307<br>GRN:     14.63%     14,536<br>ON:     2.99%     2,972<br>LP:     46.08%     45,797<br>SOPA:     1.43%     1,418<br>ALP:     20.87%     20,746<br>CYA:     0.51%     509<br>IND:     0.91%     904<br>UAPP:     2.33%     2,315<br>IND:     1.81%     1,802<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     19.26%     17,972<br>LP:     55.33%     51,629<br>ALP:     25.41%     23,705<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 17972 GRN<br>(There was a margin of 2,866 votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LP:     23.05%     4,142<br>GRN -> ALP:     76.95%     13,830<br>------------------------------------------------------------<br>LP:     59.77%     55,771<br>ALP:     40.23%     37,535<br>The winner is LP with a margin of 9,118 votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Berowra
Winner: Liberal (Julian, LEESER)
Number of Candidates: 10
Number of Formal Votes: 99,389
Number of Informal Votes: 6,083 (6.12%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LDP:     2.32%     2,307
GRN:     14.63%     14,536
ON:     2.99%     2,972
LP:     46.08%     45,797
SOPA:     1.43%     1,418
ALP:     20.87%     20,746
CYA:     0.51%     509
IND:     0.91%     904
UAPP:     2.33%     2,315
IND:     1.81%     1,802
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     19.26%     17,972
LP:     55.33%     51,629
ALP:     25.41%     23,705
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 17972 GRN
(There was a margin of 2,866 votes between GRN and ALP)
------------------------------------------------------------
GRN -> LP:     23.05%     4,142
GRN -> ALP:     76.95%     13,830
------------------------------------------------------------
LP:     59.77%     55,771
ALP:     40.23%     37,535
The winner is LP with a margin of 9,118 votes over ALP
"
Blaxland,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Blaxland<br>Winner: Labor (Jason, CLARE)<br>Number of Candidates: 5<br>Number of Formal Votes: 91,561<br>Number of Informal Votes: 9,884 (10.79%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ON:     4.83%     4,421<br>LP:     24.09%     22,059<br>GRN:     5.67%     5,187<br>ALP:     49.04%     44,905<br>UAPP:     5.58%     5,105<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LP:     29.09%     23,759<br>GRN:     6.86%     5,602<br>ALP:     55.49%     45,325<br>UAPP:     8.56%     6,991<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5602 GRN<br>(There was a margin of 694 votes between GRN and UAPP)<br>------------------------------------------------------------<br>GRN -> LP:     17.6%     986<br>GRN -> ALP:     68.55%     3,840<br>GRN -> UAPP:     13.85%     776<br>LP:     30.3%     24,745<br>ALP:     60.19%     49,165<br>UAPP:     9.51%     7,767<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 7767 UAPP<br>(There was a margin of 8,489 votes between UAPP and LP)<br>------------------------------------------------------------<br>UAPP -> LP:     50.12%     3,893<br>UAPP -> ALP:     49.88%     3,874<br>------------------------------------------------------------<br>LP:     35.06%     28,638<br>ALP:     64.94%     53,039<br>The winner is ALP with a margin of 12,200 votes over LP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Blaxland
Winner: Labor (Jason, CLARE)
Number of Candidates: 5
Number of Formal Votes: 91,561
Number of Informal Votes: 9,884 (10.79%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ON:     4.83%     4,421
LP:     24.09%     22,059
GRN:     5.67%     5,187
ALP:     49.04%     44,905
UAPP:     5.58%     5,105
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LP:     29.09%     23,759
GRN:     6.86%     5,602
ALP:     55.49%     45,325
UAPP:     8.56%     6,991
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5602 GRN
(There was a margin of 694 votes between GRN and UAPP)
------------------------------------------------------------
GRN -> LP:     17.6%     986
GRN -> ALP:     68.55%     3,840
GRN -> UAPP:     13.85%     776
LP:     30.3%     24,745
ALP:     60.19%     49,165
UAPP:     9.51%     7,767
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 7767 UAPP
(There was a margin of 8,489 votes between UAPP and LP)
------------------------------------------------------------
UAPP -> LP:     50.12%     3,893
UAPP -> ALP:     49.88%     3,874
------------------------------------------------------------
LP:     35.06%     28,638
ALP:     64.94%     53,039
The winner is ALP with a margin of 12,200 votes over LP
"
Bradfield,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Bradfield<br>Winner: Liberal (Paul, FLETCHER)<br>Number of Candidates: 6<br>Number of Formal Votes: 97,824<br>Number of Informal Votes: 3,616 (3.7%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     20.65%     20,198<br>ALP:     17.28%     16,902<br>GRN:     9.16%     8,960<br>IND:     3.09%     3,018<br>LP:     44.53%     43,562<br>ON:     1.6%     1,568<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>IND:     23.98%     23,193<br>ALP:     18.25%     17,652<br>GRN:     10.1%     9,767<br>LP:     47.66%     46,092<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 9767 GRN<br>(There was a margin of 3,942 votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> IND:     47.02%     4,592<br>GRN -> ALP:     42.99%     4,199<br>GRN -> LP:     9.99%     976<br>IND:     28.73%     27,785<br>ALP:     22.6%     21,851<br>LP:     48.67%     47,068<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 21851 ALP<br>(There was a margin of 2,967 votes between ALP and IND)<br>------------------------------------------------------------<br>ALP -> IND:     75.38%     16,472<br>ALP -> LP:     24.62%     5,379<br>------------------------------------------------------------<br>IND:     45.77%     44,257<br>LP:     54.23%     52,447<br>The winner is LP with a margin of 4,095 votes over IND<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Bradfield
Winner: Liberal (Paul, FLETCHER)
Number of Candidates: 6
Number of Formal Votes: 97,824
Number of Informal Votes: 3,616 (3.7%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     20.65%     20,198
ALP:     17.28%     16,902
GRN:     9.16%     8,960
IND:     3.09%     3,018
LP:     44.53%     43,562
ON:     1.6%     1,568
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
IND:     23.98%     23,193
ALP:     18.25%     17,652
GRN:     10.1%     9,767
LP:     47.66%     46,092
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 9767 GRN
(There was a margin of 3,942 votes between GRN and ALP)
------------------------------------------------------------
GRN -> IND:     47.02%     4,592
GRN -> ALP:     42.99%     4,199
GRN -> LP:     9.99%     976
IND:     28.73%     27,785
ALP:     22.6%     21,851
LP:     48.67%     47,068
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 21851 ALP
(There was a margin of 2,967 votes between ALP and IND)
------------------------------------------------------------
ALP -> IND:     75.38%     16,472
ALP -> LP:     24.62%     5,379
------------------------------------------------------------
IND:     45.77%     44,257
LP:     54.23%     52,447
The winner is LP with a margin of 4,095 votes over IND
"
Calare,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: Calare<br>Winner: The Nationals (Andrew, GEE)<br>Number of Candidates: 6<br>Number of Formal Votes: 111,774<br>Number of Informal Votes: 4,455 (3.99%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     19.59%     21,891<br>ON:     8.1%     9,057<br>GRN:     4.38%     4,891<br>ALP:     14.54%     16,252<br>NP:     45.77%     51,161<br>UAPP:     3.64%     4,067<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>IND:     20.98%     22,513<br>ON:     10.35%     11,112<br>GRN:     4.7%     5,044<br>ALP:     15.43%     16,563<br>NP:     48.53%     52,087<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5044 GRN<br>(There was a margin of 3,034 votes between GRN and ON)<br>------------------------------------------------------------<br>GRN -> IND:     45.26%     2,283<br>GRN -> ON:     6.58%     332<br>GRN -> ALP:     37.39%     1,886<br>GRN -> NP:     10.77%     543<br>IND:     23.1%     24,796<br>ON:     10.66%     11,444<br>ALP:     17.19%     18,449<br>NP:     49.04%     52,630<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 11444 ON<br>(There was a margin of 3,502 votes between ON and ALP)<br>------------------------------------------------------------<br>ON -> IND:     38.39%     4,393<br>ON -> ALP:     12.64%     1,446<br>ON -> NP:     48.98%     5,605<br>IND:     27.2%     29,189<br>ALP:     18.54%     19,895<br>NP:     54.26%     58,235<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 19895 ALP<br>(There was a margin of 4,647 votes between ALP and IND)<br>------------------------------------------------------------<br>ALP -> IND:     70.79%     14,083<br>ALP -> NP:     29.21%     5,812<br>------------------------------------------------------------<br>IND:     40.32%     43,272<br>NP:     59.68%     64,047<br>The winner is NP with a margin of 10,387 votes over IND<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: Calare
Winner: The Nationals (Andrew, GEE)
Number of Candidates: 6
Number of Formal Votes: 111,774
Number of Informal Votes: 4,455 (3.99%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     19.59%     21,891
ON:     8.1%     9,057
GRN:     4.38%     4,891
ALP:     14.54%     16,252
NP:     45.77%     51,161
UAPP:     3.64%     4,067
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
IND:     20.98%     22,513
ON:     10.35%     11,112
GRN:     4.7%     5,044
ALP:     15.43%     16,563
NP:     48.53%     52,087
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5044 GRN
(There was a margin of 3,034 votes between GRN and ON)
------------------------------------------------------------
GRN -> IND:     45.26%     2,283
GRN -> ON:     6.58%     332
GRN -> ALP:     37.39%     1,886
GRN -> NP:     10.77%     543
IND:     23.1%     24,796
ON:     10.66%     11,444
ALP:     17.19%     18,449
NP:     49.04%     52,630
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 11444 ON
(There was a margin of 3,502 votes between ON and ALP)
------------------------------------------------------------
ON -> IND:     38.39%     4,393
ON -> ALP:     12.64%     1,446
ON -> NP:     48.98%     5,605
IND:     27.2%     29,189
ALP:     18.54%     19,895
NP:     54.26%     58,235
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 19895 ALP
(There was a margin of 4,647 votes between ALP and IND)
------------------------------------------------------------
ALP -> IND:     70.79%     14,083
ALP -> NP:     29.21%     5,812
------------------------------------------------------------
IND:     40.32%     43,272
NP:     59.68%     64,047
The winner is NP with a margin of 10,387 votes over IND
"
