DivisionID,DivisionNm,GivenNm,Surname,PartyNm,PartyAb
179,Adelaide,Steve,GEORGANAS,Australian Labor Party,ALP
197,Aston,Alan,TUDGE,Liberal,LP
198,Ballarat,Catherine,KING,Australian Labor Party,ALP
103,Banks,David,COLEMAN,Liberal,LP
180,Barker,Tony,PASIN,Liberal,LP
104,Barton,Linda,BURNEY,Australian Labor Party,ALP
192,Bass,Bridget Kathleen,ARCHER,Liberal,LP
318,Bean,David,SMITH,Australian Labor Party,ALP
200,Bendigo,Lisa,CHESTERS,Australian Labor Party,ALP
105,Bennelong,Jerome,LAXALE,Australian Labor Party,ALP
106,Berowra,Julian,LEESER,Liberal,LP
304,Blair,Shayne,NEUMANN,Australian Labor Party,ALP
107,Blaxland,Jason,CLARE,Australian Labor Party,ALP
310,Bonner,Ross,VASTA,Liberal National Party of Queensland,LNP
182,Boothby,Louise,MILLER-FROST,Australian Labor Party,ALP
155,Bowman,Henry,PIKE,Liberal National Party of Queensland,LNP
193,Braddon,Gavin,PEARCE,Liberal,LP
108,Bradfield,Paul,FLETCHER,Liberal,LP
235,Brand,Madeleine,KING,Australian Labor Party,ALP
156,Brisbane,Stephen,BATES,The Greens,GRN
201,Bruce,Julian,HILL,Australian Labor Party,ALP
317,Burt,Matt,KEOGH,Australian Labor Party,ALP
109,Calare,Andrew,GEE,The Nationals,NP
203,Calwell,Maria,VAMVAKINOU,Australian Labor Party,ALP
101,Canberra,Alicia,PAYNE,Australian Labor Party,ALP
236,Canning,Andrew,HASTIE,Liberal,LP
157,Capricornia,Michelle,LANDRY,Liberal National Party of Queensland,LNP
204,Casey,Aaron,VIOLI,Liberal,LP
111,Chifley,Ed,HUSIC,Australian Labor Party,ALP
205,Chisholm,Carina,GARLAND,Australian Labor Party,ALP
319,Clark,Andrew,WILKIE,Independent,IND
112,Cook,Scott,MORRISON,Liberal,LP
320,Cooper,Ged,KEARNEY,Australian Labor Party,ALP
328,Corangamite,Libby,COKER,Australian Labor Party,ALP
208,Corio,Richard,MARLES,Australian Labor Party,ALP
237,Cowan,Anne,ALY,Australian Labor Party,ALP
113,Cowper,Pat,CONAGHAN,The Nationals,NP
114,Cunningham,Alison,BYRNES,Australian Labor Party,ALP
238,Curtin,Kate,CHANEY,Independent,IND
158,Dawson,Andrew,WILLCOX,Liberal National Party of Queensland,LNP
209,Deakin,Michael,SUKKAR,Liberal,LP
252,Dickson,Peter,DUTTON,Liberal National Party of Queensland,LNP
115,Dobell,Emma,McBRIDE,Australian Labor Party,ALP
210,Dunkley,Peta,MURPHY,Australian Labor Party,ALP
312,Durack,Melissa,PRICE,Liberal,LP
117,Eden-Monaro,Kristy,McBAIN,Australian Labor Party,ALP
159,Fadden,Stuart,ROBERT,Liberal National Party of Queensland,LNP
160,Fairfax,Ted,O'BRIEN,Liberal National Party of Queensland,LNP
118,Farrer,Sussan,LEY,Liberal,LP
102,Fenner,Andrew,LEIGH,Australian Labor Party,ALP
161,Fisher,Andrew,WALLACE,Liberal National Party of Queensland,LNP
211,Flinders,Zoe,McKENZIE,Liberal,LP
311,Flynn,Colin,BOYCE,Liberal National Party of Queensland,LNP
162,Forde,Bert,VAN MANEN,Liberal National Party of Queensland,LNP
239,Forrest,Nola,MARINO,Liberal,LP
119,Fowler,Dai,LE,Independent,IND
195,Franklin,Julie,COLLINS,Australian Labor Party,ALP
321,Fraser,Daniel,MULINO,Australian Labor Party,ALP
240,Fremantle,Josh,WILSON,Australian Labor Party,ALP
212,Gellibrand,Tim,WATTS,Australian Labor Party,ALP
120,Gilmore,Fiona,PHILLIPS,Australian Labor Party,ALP
213,Gippsland,Darren,CHESTER,The Nationals,NP
214,Goldstein,Zoe,DANIEL,Independent,IND
309,Gorton,Brendan,O'CONNOR,Australian Labor Party,ALP
121,Grayndler,Anthony,ALBANESE,Australian Labor Party,ALP
122,Greenway,Michelle,ROWLAND,Australian Labor Party,ALP
183,Grey,Rowan,RAMSEY,Liberal,LP
163,Griffith,Max,CHANDLER-MATHER,The Greens,GRN
164,Groom,Garth,HAMILTON,Liberal National Party of Queensland,LNP
305,Hasluck,Tania,LAWRENCE,Australian Labor Party,ALP
326,Hawke,Sam,RAE,Australian Labor Party,ALP
165,Herbert,Phillip,THOMPSON,Liberal National Party of Queensland,LNP
215,Higgins,Michelle,ANANDA-RAJAH,Australian Labor Party,ALP
185,Hindmarsh,Mark,BUTLER,Australian Labor Party,ALP
166,Hinkler,Keith,PITT,Liberal National Party of Queensland,LNP
216,Holt,Cassandra,FERNANDO,Australian Labor Party,ALP
217,Hotham,Clare,O'NEIL,Australian Labor Party,ALP
