DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Algester,0,1,AITKEN,Nerissa,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Algester,0,2,STACEY,Wayne,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Algester,0,3,MIRA,Josie,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Algester,0,4,ENOCH,Leeanne,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Algester,0,5,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,1,HARDY,Walter,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,2,SKILBECK,Neil,CLMP,Civil Liberties & Motorists Party,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,3,HANSEN,James,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,4,MORRISON,Joshua,UAP,Clive Palmer's United Australia Party,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,5,MELLISH,Bart,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,6,COOPER,Amanda,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Aspley,0,7,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,1,WHITING,Chris,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,2,GRANT,Barry,IND,Independent,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,3,ACKERMAN,Ell-Leigh,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,4,CARLSON,Phil,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,5,AAI REDDY,Nik,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bancroft,0,6,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,1,MCDONALD,Aaron,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,2,CRAWFORD,Craig,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,3,BROWN,Jenny,UAP,Clive Palmer's United Australia Party,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,4,ANDREWS,Susan,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,5,ROWE,Adam,IMOP,Informed Medical Options Party (IMOP),N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,6,COOPER,Linda,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Barron River,0,7,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,1,MARQUET,Leana,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,2,O'CONNOR,Sam,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,3,BORG,Ash,ALP,Australian Labor Party (State of Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,4,BARK,David,UAP,Clive Palmer's United Australia Party,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,5,RIX,Michael,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,6,JAVANMARD,Amin,The Greens,Queensland Greens,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bonney,0,7,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,1,SCHNEIDER,Jesse,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,2,SIMPSON,Maureen,ALP,Australian Labor Party (State of Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,3,BROADBENT,April,The Greens,Queensland Greens,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,4,KRISCHKER,Mara,UAP,Clive Palmer's United Australia Party,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,5,CRISAFULLI,David,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,6,O'DONNELL,Natalie,IMOP,Informed Medical Options Party (IMOP),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Broadwater,0,7,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,1,ANDREWS,Michael,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,2,MOSELEY,Deborah,The Greens,Queensland Greens,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,3,BARRY-JONES,Alison,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,4,HOSKING,Joyce,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,5,MACKENZIE,Ken,ALP,Australian Labor Party (State of Queensland),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,6,DICKSON,Steve,IND,Independent,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,7,PHILP,Daniel,UAP,Clive Palmer's United Australia Party,N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,8,MICKELBERG,Brent,LNP,Liberal National Party of Queensland,Y,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,9,LEE,Alina,IMOP,Informed Medical Options Party (IMOP),N,,,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Buderim,0,10,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,LNP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,1,BISHOP,Anthony,LNP,Liberal National Party of Queensland,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,2,KUELSEN,Rolf,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,3,ARMSTRONG-SCHMAKEIT,Finn,IND,Independent,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,4,CONWAY,Doug,ONP,Pauline Hanson's One Nation Queensland Division,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,5,FARMER,Di,ALP,Australian Labor Party (State of Queensland),Y,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bulimba,0,6,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bundaberg,0,1,ZUNKER,Ian,LCQP,Legalise Cannabis Qld (Party),N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bundaberg,0,2,OGDEN,Claire,The Greens,Queensland Greens,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Bundaberg,0,3,SMELTZ,Shane,UAP,Clive Palmer's United Australia Party,N,,,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
