DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
1,Algester,Informal,Informal,0,N,Informal,Informal,1142
1,Algester,Nerissa,AITKEN,1,N,Liberal National Party of Queensland,LNP,7505
1,Algester,Wayne,STACEY,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2147
1,Algester,Josie,MIRA,3,N,Queensland Greens,The Greens,2514
1,Algester,Leeanne,ENOCH,4,Y,Australian Labor Party (State of Queensland),Australian Labor Party,17452
2,Aspley,Informal,Informal,0,N,Informal,Informal,711
2,Aspley,Walter,HARDY,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1141
2,Aspley,Neil,SKILBECK,2,N,Civil Liberties & Motorists Party,CLMP,305
2,Aspley,James,HANSEN,3,N,Queensland Greens,The Greens,2997
2,Aspley,Joshua,MORRISON,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,247
2,Aspley,Bart,MELLISH,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,15261
2,Aspley,Amanda,COOPER,6,N,Liberal National Party of Queensland,LNP,13579
3,Bancroft,Informal,Informal,0,N,Informal,Informal,1017
3,Bancroft,Chris,WHITING,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,16301
3,Bancroft,Barry,GRANT,2,N,Independent,IND,1001
3,Bancroft,Ell-Leigh,ACKERMAN,3,N,Queensland Greens,The Greens,1820
3,Bancroft,Phil,CARLSON,4,N,Liberal National Party of Queensland,LNP,8626
3,Bancroft,Nik,AAI REDDY,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2666
4,Barron River,Informal,Informal,0,N,Informal,Informal,1059
4,Barron River,Aaron,MCDONALD,1,N,Queensland Greens,The Greens,4134
4,Barron River,Craig,CRAWFORD,2,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12385
4,Barron River,Jenny,BROWN,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,345
4,Barron River,Susan,ANDREWS,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1852
4,Barron River,Adam,ROWE,5,N,Informed Medical Options Party (IMOP),IMOP,575
4,Barron River,Linda,COOPER,6,N,Liberal National Party of Queensland,LNP,12092
5,Bonney,Informal,Informal,0,N,Informal,Informal,1115
5,Bonney,Leana,MARQUET,1,N,Independent,IND,498
5,Bonney,Sam,O'CONNOR,2,Y,Liberal National Party of Queensland,LNP,15323
5,Bonney,Ash,BORG,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,9226
5,Bonney,David,BARK,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,381
5,Bonney,Michael,RIX,5,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1113
5,Bonney,Amin,JAVANMARD,6,N,Queensland Greens,The Greens,2229
6,Broadwater,Informal,Informal,0,N,Informal,Informal,1004
6,Broadwater,Jesse,SCHNEIDER,1,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1796
6,Broadwater,Maureen,SIMPSON,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,8041
6,Broadwater,April,BROADBENT,3,N,Queensland Greens,The Greens,1583
6,Broadwater,Mara,KRISCHKER,4,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,441
6,Broadwater,David,CRISAFULLI,5,Y,Liberal National Party of Queensland,LNP,18059
6,Broadwater,Natalie,O'DONNELL,6,N,Informed Medical Options Party (IMOP),IMOP,386
7,Buderim,Informal,Informal,0,N,Informal,Informal,1293
7,Buderim,Michael,ANDREWS,1,N,Independent,IND,741
7,Buderim,Deborah,MOSELEY,2,N,Queensland Greens,The Greens,3422
7,Buderim,Alison,BARRY-JONES,3,N,Independent,IND,572
7,Buderim,Joyce,HOSKING,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1477
7,Buderim,Ken,MACKENZIE,5,N,Australian Labor Party (State of Queensland),Australian Labor Party,8932
7,Buderim,Steve,DICKSON,6,N,Independent,IND,2234
7,Buderim,Daniel,PHILP,7,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,191
7,Buderim,Brent,MICKELBERG,8,Y,Liberal National Party of Queensland,LNP,13443
7,Buderim,Alina,LEE,9,N,Informed Medical Options Party (IMOP),IMOP,601
8,Bulimba,Informal,Informal,0,N,Informal,Informal,673
8,Bulimba,Anthony,BISHOP,1,N,Liberal National Party of Queensland,LNP,11883
8,Bulimba,Rolf,KUELSEN,2,N,Queensland Greens,The Greens,4665
8,Bulimba,Finn,ARMSTRONG-SCHMAKEIT,3,N,Independent,IND,659
8,Bulimba,Doug,CONWAY,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,785
8,Bulimba,Di,FARMER,5,Y,Australian Labor Party (State of Queensland),Australian Labor Party,16764
9,Bundaberg,Informal,Informal,0,N,Informal,Informal,1105
9,Bundaberg,Ian,ZUNKER,1,N,Legalise Cannabis Qld (Party),LCQP,1669
9,Bundaberg,Claire,OGDEN,2,N,Queensland Greens,The Greens,964
9,Bundaberg,Shane,SMELTZ,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,244
9,Bundaberg,Stewart,JONES,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,1766
9,Bundaberg,David,BATT,5,N,Liberal National Party of Queensland,LNP,12577
9,Bundaberg,Tom,SMITH,6,Y,Australian Labor Party (State of Queensland),Australian Labor Party,13053
10,Bundamba,Informal,Informal,0,N,Informal,Informal,1344
10,Bundamba,Lance,MCCALLUM,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,17015
10,Bundamba,Sharon,BELL,2,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,4553
10,Bundamba,Angela,LOWERY,3,N,Animal Justice Party (Queensland),Animal Justice Party,1099
10,Bundamba,Danielle,MUTTON,4,N,Queensland Greens,The Greens,3127
10,Bundamba,Rob,SHEARMAN,5,N,Liberal National Party of Queensland,LNP,4635
11,Burdekin,Informal,Informal,0,N,Informal,Informal,1012
11,Burdekin,Dominique,THIRIET,1,N,Animal Justice Party (Queensland),Animal Justice Party,419
