DivisionNm,HoverTPPDetailedBr,HoverTPPDetailedstring
ALGESTER,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: ALGESTER<br>Winner: Australian Labor Party (State of Queensland) (Leeanne, ENOCH)<br>Number of Candidates: 4<br>Number of Formal Votes: 30,760<br>Number of Informal Votes: 1,142 (3.71%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LNP:     24.4%     7,505<br>ONP:     6.98%     2,147<br>GRN:     8.17%     2,514<br>ALP:     56.74%     17,452<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LNP:     29.19%     8,646<br>GRN:     10.01%     2,965<br>ALP:     60.8%     18,007<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2965 GRN<br>(There was a margin of 2,840 (9.23%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> LNP:     30.32%     899<br>GRN -> ALP:     69.68%     2,066<br>------------------------------------------------------------<br>LNP:     32.23%     9,545<br>ALP:     67.77%     20,073<br>The winner is ALP with a margin of 5,264 (17.11%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: ALGESTER
Winner: Australian Labor Party (State of Queensland) (Leeanne, ENOCH)
Number of Candidates: 4
Number of Formal Votes: 30,760
Number of Informal Votes: 1,142 (3.71%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LNP:     24.4%     7,505
ONP:     6.98%     2,147
GRN:     8.17%     2,514
ALP:     56.74%     17,452
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LNP:     29.19%     8,646
GRN:     10.01%     2,965
ALP:     60.8%     18,007
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2965 GRN
(There was a margin of 2,840 (9.23%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> LNP:     30.32%     899
GRN -> ALP:     69.68%     2,066
------------------------------------------------------------
LNP:     32.23%     9,545
ALP:     67.77%     20,073
The winner is ALP with a margin of 5,264 (17.11%) votes over LNP
"
ASPLEY,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: ASPLEY<br>Winner: Australian Labor Party (State of Queensland) (Bart, MELLISH)<br>Number of Candidates: 6<br>Number of Formal Votes: 34,241<br>Number of Informal Votes: 711 (2.08%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ONP:     3.33%     1,141<br>CLMP:     0.89%     305<br>GRN:     8.75%     2,997<br>UAP:     0.72%     247<br>ALP:     44.57%     15,261<br>LNP:     39.66%     13,579<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     10.36%     3,474<br>ALP:     46.71%     15,661<br>LNP:     42.93%     14,395<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3474 GRN<br>(There was a margin of 5,460 (15.95%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> ALP:     81.55%     2,833<br>GRN -> LNP:     18.45%     641<br>------------------------------------------------------------<br>ALP:     55.16%     18,494<br>LNP:     44.84%     15,036<br>The winner is ALP with a margin of 1,729 (5.05%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: ASPLEY
Winner: Australian Labor Party (State of Queensland) (Bart, MELLISH)
Number of Candidates: 6
Number of Formal Votes: 34,241
Number of Informal Votes: 711 (2.08%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ONP:     3.33%     1,141
CLMP:     0.89%     305
GRN:     8.75%     2,997
UAP:     0.72%     247
ALP:     44.57%     15,261
LNP:     39.66%     13,579
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     10.36%     3,474
ALP:     46.71%     15,661
LNP:     42.93%     14,395
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3474 GRN
(There was a margin of 5,460 (15.95%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> ALP:     81.55%     2,833
GRN -> LNP:     18.45%     641
------------------------------------------------------------
ALP:     55.16%     18,494
LNP:     44.84%     15,036
The winner is ALP with a margin of 1,729 (5.05%) votes over LNP
"
BANCROFT,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BANCROFT<br>Winner: Australian Labor Party (State of Queensland) (Chris, WHITING)<br>Number of Candidates: 5<br>Number of Formal Votes: 31,431<br>Number of Informal Votes: 1,017 (3.24%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ALP:     51.86%     16,301<br>IND:     3.18%     1,001<br>GRN:     5.79%     1,820<br>LNP:     27.44%     8,626<br>ONP:     8.48%     2,666<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     54.52%     16,583<br>GRN:     6.67%     2,029<br>LNP:     29.15%     8,865<br>ONP:     9.66%     2,937<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2029 GRN<br>(There was a margin of 454 (1.44%) votes between GRN and ONP)<br>------------------------------------------------------------<br>GRN -> ALP:     67.72%     1,374<br>GRN -> LNP:     19.37%     393<br>GRN -> ONP:     12.91%     262<br>ALP:     59.04%     17,957<br>LNP:     30.44%     9,258<br>ONP:     10.52%     3,199<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3199 ONP<br>(There was a margin of 3,029 (9.64%) votes between ONP and LNP)<br>------------------------------------------------------------<br>ONP -> ALP:     35.73%     1,143<br>ONP -> LNP:     64.27%     2,056<br>------------------------------------------------------------<br>ALP:     62.8%     19,100<br>LNP:     37.2%     11,314<br>The winner is ALP with a margin of 3,893 (12.39%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BANCROFT
Winner: Australian Labor Party (State of Queensland) (Chris, WHITING)
Number of Candidates: 5
Number of Formal Votes: 31,431
Number of Informal Votes: 1,017 (3.24%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ALP:     51.86%     16,301
IND:     3.18%     1,001
GRN:     5.79%     1,820
LNP:     27.44%     8,626
ONP:     8.48%     2,666
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     54.52%     16,583
GRN:     6.67%     2,029
LNP:     29.15%     8,865
ONP:     9.66%     2,937
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2029 GRN
(There was a margin of 454 (1.44%) votes between GRN and ONP)
------------------------------------------------------------
GRN -> ALP:     67.72%     1,374
GRN -> LNP:     19.37%     393
GRN -> ONP:     12.91%     262
ALP:     59.04%     17,957
LNP:     30.44%     9,258
ONP:     10.52%     3,199
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3199 ONP
(There was a margin of 3,029 (9.64%) votes between ONP and LNP)
------------------------------------------------------------
ONP -> ALP:     35.73%     1,143
ONP -> LNP:     64.27%     2,056
------------------------------------------------------------
ALP:     62.8%     19,100
LNP:     37.2%     11,314
The winner is ALP with a margin of 3,893 (12.39%) votes over LNP
"
BARRON RIVER,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BARRON RIVER<br>Winner: Australian Labor Party (State of Queensland) (Craig, CRAWFORD)<br>Number of Candidates: 6<br>Number of Formal Votes: 32,442<br>Number of Informal Votes: 1,059 (3.26%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>GRN:     12.74%     4,134<br>ALP:     38.18%     12,385<br>UAP:     1.06%     345<br>ONP:     5.71%     1,852<br>IMOP:     1.77%     575<br>LNP:     37.27%     12,092<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     15.42%     4,838<br>ALP:     41.35%     12,977<br>LNP:     43.23%     13,568<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 4838 GRN<br>(There was a margin of 4,069 (12.54%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> ALP:     75.98%     3,676<br>GRN -> LNP:     24.02%     1,162<br>------------------------------------------------------------<br>ALP:     53.06%     16,653<br>LNP:     46.94%     14,730<br>The winner is ALP with a margin of 961 (2.96%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BARRON RIVER
Winner: Australian Labor Party (State of Queensland) (Craig, CRAWFORD)
Number of Candidates: 6
Number of Formal Votes: 32,442
Number of Informal Votes: 1,059 (3.26%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
GRN:     12.74%     4,134
ALP:     38.18%     12,385
UAP:     1.06%     345
ONP:     5.71%     1,852
IMOP:     1.77%     575
LNP:     37.27%     12,092
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     15.42%     4,838
ALP:     41.35%     12,977
LNP:     43.23%     13,568
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 4838 GRN
(There was a margin of 4,069 (12.54%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> ALP:     75.98%     3,676
GRN -> LNP:     24.02%     1,162
------------------------------------------------------------
ALP:     53.06%     16,653
LNP:     46.94%     14,730
The winner is ALP with a margin of 961 (2.96%) votes over LNP
"
BONNEY,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BONNEY<br>Winner: Liberal National Party of Queensland (Sam, O'CONNOR)<br>Number of Candidates: 6<br>Number of Formal Votes: 29,885<br>Number of Informal Votes: 1,115 (3.73%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     1.67%     498<br>LNP:     51.27%     15,323<br>ALP:     30.87%     9,226<br>UAP:     1.27%     381<br>ONP:     3.72%     1,113<br>GRN:     7.46%     2,229<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LNP:     57.07%     16,418<br>ALP:     33.6%     9,667<br>GRN:     9.33%     2,685<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2685 GRN<br>(There was a margin of 3,491 (11.68%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LNP:     32.22%     865<br>GRN -> ALP:     67.78%     1,820<br>------------------------------------------------------------<br>LNP:     60.07%     17,283<br>ALP:     39.93%     11,487<br>The winner is LNP with a margin of 2,898 (9.7%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BONNEY
Winner: Liberal National Party of Queensland (Sam, O'CONNOR)
Number of Candidates: 6
Number of Formal Votes: 29,885
Number of Informal Votes: 1,115 (3.73%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     1.67%     498
LNP:     51.27%     15,323
ALP:     30.87%     9,226
UAP:     1.27%     381
ONP:     3.72%     1,113
GRN:     7.46%     2,229
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LNP:     57.07%     16,418
ALP:     33.6%     9,667
GRN:     9.33%     2,685
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2685 GRN
(There was a margin of 3,491 (11.68%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> LNP:     32.22%     865
GRN -> ALP:     67.78%     1,820
------------------------------------------------------------
LNP:     60.07%     17,283
ALP:     39.93%     11,487
The winner is LNP with a margin of 2,898 (9.7%) votes over ALP
"
BROADWATER,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BROADWATER<br>Winner: Liberal National Party of Queensland (David, CRISAFULLI)<br>Number of Candidates: 6<br>Number of Formal Votes: 31,310<br>Number of Informal Votes: 1,004 (3.21%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ONP:     5.74%     1,796<br>ALP:     25.68%     8,041<br>GRN:     5.06%     1,583<br>UAP:     1.41%     441<br>LNP:     57.68%     18,059<br>IMOP:     1.23%     386<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ONP:     7.03%     2,132<br>ALP:     26.87%     8,142<br>GRN:     5.71%     1,731<br>LNP:     60.39%     18,301<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1731 GRN<br>(There was a margin of 200 (0.64%) votes between GRN and ONP)<br>------------------------------------------------------------<br>GRN -> ONP:     13.75%     238<br>GRN -> ALP:     61.12%     1,058<br>GRN -> LNP:     25.13%     435<br>ONP:     7.82%     2,370<br>ALP:     30.36%     9,200<br>LNP:     61.82%     18,736<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2370 ONP<br>(There was a margin of 3,415 (10.91%) votes between ONP and ALP)<br>------------------------------------------------------------<br>ONP -> ALP:     39.32%     932<br>ONP -> LNP:     60.68%     1,438<br>------------------------------------------------------------<br>ALP:     33.43%     10,132<br>LNP:     66.57%     20,174<br>The winner is LNP with a margin of 5,021 (16.04%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BROADWATER
Winner: Liberal National Party of Queensland (David, CRISAFULLI)
Number of Candidates: 6
Number of Formal Votes: 31,310
Number of Informal Votes: 1,004 (3.21%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ONP:     5.74%     1,796
ALP:     25.68%     8,041
GRN:     5.06%     1,583
UAP:     1.41%     441
LNP:     57.68%     18,059
IMOP:     1.23%     386
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ONP:     7.03%     2,132
ALP:     26.87%     8,142
GRN:     5.71%     1,731
LNP:     60.39%     18,301
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1731 GRN
(There was a margin of 200 (0.64%) votes between GRN and ONP)
------------------------------------------------------------
GRN -> ONP:     13.75%     238
GRN -> ALP:     61.12%     1,058
GRN -> LNP:     25.13%     435
ONP:     7.82%     2,370
ALP:     30.36%     9,200
LNP:     61.82%     18,736
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2370 ONP
(There was a margin of 3,415 (10.91%) votes between ONP and ALP)
------------------------------------------------------------
ONP -> ALP:     39.32%     932
ONP -> LNP:     60.68%     1,438
------------------------------------------------------------
ALP:     33.43%     10,132
LNP:     66.57%     20,174
The winner is LNP with a margin of 5,021 (16.04%) votes over ALP
"
BUDERIM,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BUDERIM<br>Winner: Liberal National Party of Queensland (Brent, MICKELBERG)<br>Number of Candidates: 9<br>Number of Formal Votes: 32,906<br>Number of Informal Votes: 1,293 (3.93%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     2.25%     741<br>GRN:     10.4%     3,422<br>IND:     1.74%     572<br>ONP:     4.49%     1,477<br>ALP:     27.14%     8,932<br>IND:     6.79%     2,234<br>UAP:     0.58%     191<br>LNP:     40.85%     13,443<br>IMOP:     1.83%     601<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     16.58%     5,241<br>ALP:     32.43%     10,251<br>LNP:     50.99%     16,121<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5241 GRN<br>(There was a margin of 2,505 (7.61%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> ALP:     74.11%     3,884<br>GRN -> LNP:     25.89%     1,357<br>------------------------------------------------------------<br>ALP:     44.71%     14,135<br>LNP:     55.29%     17,478<br>The winner is LNP with a margin of 1,671 (5.08%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BUDERIM
Winner: Liberal National Party of Queensland (Brent, MICKELBERG)
Number of Candidates: 9
Number of Formal Votes: 32,906
Number of Informal Votes: 1,293 (3.93%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     2.25%     741
GRN:     10.4%     3,422
IND:     1.74%     572
ONP:     4.49%     1,477
ALP:     27.14%     8,932
IND:     6.79%     2,234
UAP:     0.58%     191
LNP:     40.85%     13,443
IMOP:     1.83%     601
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     16.58%     5,241
ALP:     32.43%     10,251
LNP:     50.99%     16,121
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5241 GRN
(There was a margin of 2,505 (7.61%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> ALP:     74.11%     3,884
GRN -> LNP:     25.89%     1,357
------------------------------------------------------------
ALP:     44.71%     14,135
LNP:     55.29%     17,478
The winner is LNP with a margin of 1,671 (5.08%) votes over ALP
"
BULIMBA,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BULIMBA<br>Winner: Australian Labor Party (State of Queensland) (Di, FARMER)<br>Number of Candidates: 5<br>Number of Formal Votes: 35,429<br>Number of Informal Votes: 673 (1.9%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LNP:     33.54%     11,883<br>GRN:     13.17%     4,665<br>IND:     1.86%     659<br>ONP:     2.22%     785<br>ALP:     47.32%     16,764<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LNP:     35.97%     12,503<br>GRN:     14.6%     5,076<br>ALP:     49.42%     17,177<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5076 GRN<br>(There was a margin of 3,713 (10.48%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> LNP:     18.07%     917<br>GRN -> ALP:     81.93%     4,159<br>------------------------------------------------------------<br>LNP:     38.61%     13,420<br>ALP:     61.39%     21,336<br>The winner is ALP with a margin of 3,958 (11.17%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BULIMBA
Winner: Australian Labor Party (State of Queensland) (Di, FARMER)
Number of Candidates: 5
Number of Formal Votes: 35,429
Number of Informal Votes: 673 (1.9%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LNP:     33.54%     11,883
GRN:     13.17%     4,665
IND:     1.86%     659
ONP:     2.22%     785
ALP:     47.32%     16,764
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LNP:     35.97%     12,503
GRN:     14.6%     5,076
ALP:     49.42%     17,177
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5076 GRN
(There was a margin of 3,713 (10.48%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> LNP:     18.07%     917
GRN -> ALP:     81.93%     4,159
------------------------------------------------------------
LNP:     38.61%     13,420
ALP:     61.39%     21,336
The winner is ALP with a margin of 3,958 (11.17%) votes over LNP
"
BUNDABERG,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BUNDABERG<br>Winner: Australian Labor Party (State of Queensland) (Tom, SMITH)<br>Number of Candidates: 6<br>Number of Formal Votes: 31,378<br>Number of Informal Votes: 1,105 (3.52%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LCQP:     5.32%     1,669<br>GRN:     3.07%     964<br>UAP:     0.78%     244<br>ONP:     5.63%     1,766<br>LNP:     40.08%     12,577<br>ALP:     41.6%     13,053<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LCQP:     5.7%     1,726<br>GRN:     3.26%     987<br>ONP:     6.16%     1,864<br>LNP:     41.69%     12,622<br>ALP:     43.19%     13,074<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 987 GRN<br>(There was a margin of 369 (1.18%) votes between GRN and LCQP)<br>------------------------------------------------------------<br>GRN -> LCQP:     32.32%     319<br>GRN -> ONP:     12.06%     119<br>GRN -> LNP:     11.65%     115<br>GRN -> ALP:     43.97%     434<br>LCQP:     6.76%     2,045<br>ONP:     6.55%     1,983<br>LNP:     42.07%     12,737<br>ALP:     44.62%     13,508<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1983 ONP<br>(There was a margin of 31 (0.1%) votes between ONP and LCQP)<br>------------------------------------------------------------<br>ONP -> LCQP:     38.73%     768<br>ONP -> LNP:     42.71%     847<br>ONP -> ALP:     18.56%     368<br>LCQP:     9.29%     2,813<br>LNP:     44.87%     13,584<br>ALP:     45.84%     13,876<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2813 LCQP<br>(There was a margin of 5,385 (17.16%) votes between LCQP and LNP)<br>------------------------------------------------------------<br>LCQP -> LNP:     55.03%     1,548<br>LCQP -> ALP:     44.97%     1,265<br>------------------------------------------------------------<br>LNP:     49.99%     15,132<br>ALP:     50.01%     15,141<br>The winner is ALP with a margin of 4 (0.01%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BUNDABERG
Winner: Australian Labor Party (State of Queensland) (Tom, SMITH)
Number of Candidates: 6
Number of Formal Votes: 31,378
Number of Informal Votes: 1,105 (3.52%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LCQP:     5.32%     1,669
GRN:     3.07%     964
UAP:     0.78%     244
ONP:     5.63%     1,766
LNP:     40.08%     12,577
ALP:     41.6%     13,053
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LCQP:     5.7%     1,726
GRN:     3.26%     987
ONP:     6.16%     1,864
LNP:     41.69%     12,622
ALP:     43.19%     13,074
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 987 GRN
(There was a margin of 369 (1.18%) votes between GRN and LCQP)
------------------------------------------------------------
GRN -> LCQP:     32.32%     319
GRN -> ONP:     12.06%     119
GRN -> LNP:     11.65%     115
GRN -> ALP:     43.97%     434
LCQP:     6.76%     2,045
ONP:     6.55%     1,983
LNP:     42.07%     12,737
ALP:     44.62%     13,508
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1983 ONP
(There was a margin of 31 (0.1%) votes between ONP and LCQP)
------------------------------------------------------------
ONP -> LCQP:     38.73%     768
ONP -> LNP:     42.71%     847
ONP -> ALP:     18.56%     368
LCQP:     9.29%     2,813
LNP:     44.87%     13,584
ALP:     45.84%     13,876
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2813 LCQP
(There was a margin of 5,385 (17.16%) votes between LCQP and LNP)
------------------------------------------------------------
LCQP -> LNP:     55.03%     1,548
LCQP -> ALP:     44.97%     1,265
------------------------------------------------------------
LNP:     49.99%     15,132
ALP:     50.01%     15,141
The winner is ALP with a margin of 4 (0.01%) votes over LNP
"
BUNDAMBA,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: BUNDAMBA<br>Winner: Australian Labor Party (State of Queensland) (Lance, MCCALLUM)<br>Number of Candidates: 5<br>Number of Formal Votes: 31,773<br>Number of Informal Votes: 1,344 (4.23%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ALP:     53.55%     17,015<br>ONP:     14.33%     4,553<br>AJP:     3.46%     1,099<br>GRN:     9.84%     3,127<br>LNP:     14.59%     4,635<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     56.8%     17,285<br>ONP:     15.8%     4,809<br>GRN:     11.82%     3,597<br>LNP:     15.57%     4,738<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3597 GRN<br>(There was a margin of 570 (1.8%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> ALP:     65.58%     2,359<br>GRN -> ONP:     18.68%     672<br>GRN -> LNP:     15.74%     566<br>ALP:     64.56%     19,644<br>ONP:     18.01%     5,481<br>LNP:     17.43%     5,304<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5304 LNP<br>(There was a margin of 88 (0.28%) votes between LNP and ONP)<br>------------------------------------------------------------<br>LNP -> ALP:     35.12%     1,863<br>LNP -> ONP:     64.88%     3,441<br>------------------------------------------------------------<br>ALP:     70.68%     21,507<br>ONP:     29.32%     8,922<br>The winner is ALP with a margin of 6,292 (19.8%) votes over ONP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: BUNDAMBA
Winner: Australian Labor Party (State of Queensland) (Lance, MCCALLUM)
Number of Candidates: 5
Number of Formal Votes: 31,773
Number of Informal Votes: 1,344 (4.23%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ALP:     53.55%     17,015
ONP:     14.33%     4,553
AJP:     3.46%     1,099
GRN:     9.84%     3,127
LNP:     14.59%     4,635
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     56.8%     17,285
ONP:     15.8%     4,809
GRN:     11.82%     3,597
LNP:     15.57%     4,738
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3597 GRN
(There was a margin of 570 (1.8%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> ALP:     65.58%     2,359
GRN -> ONP:     18.68%     672
GRN -> LNP:     15.74%     566
ALP:     64.56%     19,644
ONP:     18.01%     5,481
LNP:     17.43%     5,304
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5304 LNP
(There was a margin of 88 (0.28%) votes between LNP and ONP)
------------------------------------------------------------
LNP -> ALP:     35.12%     1,863
LNP -> ONP:     64.88%     3,441
------------------------------------------------------------
ALP:     70.68%     21,507
ONP:     29.32%     8,922
The winner is ALP with a margin of 6,292 (19.8%) votes over ONP
"
