DivisionID,DivisionNm,GivenNm,Surname,PartyNm,PartyAb
1,ALGESTER,Leeanne,ENOCH,Australian Labor Party (State of Queensland),ALP
2,ASPLEY,Bart,MELLISH,Australian Labor Party (State of Queensland),ALP
3,BANCROFT,Chris,WHITING,Australian Labor Party (State of Queensland),ALP
4,BARRON RIVER,Craig,CRAWFORD,Australian Labor Party (State of Queensland),ALP
5,BONNEY,Sam,O'CONNOR,Liberal National Party of Queensland,LNP
6,BROADWATER,David,CRISAFULLI,Liberal National Party of Queensland,LNP
7,BUDERIM,Brent,MICKELBERG,Liberal National Party of Queensland,LNP
8,BULIMBA,Di,FARMER,Australian Labor Party (State of Queensland),ALP
9,BUNDABERG,Tom,SMITH,Australian Labor Party (State of Queensland),ALP
10,BUNDAMBA,Lance,MCCALLUM,Australian Labor Party (State of Queensland),ALP
11,BURDEKIN,Dale,LAST,Liberal National Party of Queensland,LNP
12,BURLEIGH,Michael,HART,Liberal National Party of Queensland,LNP
13,BURNETT,Stephen,BENNETT,Liberal National Party of Queensland,LNP
14,CAIRNS,Michael,HEALY,Australian Labor Party (State of Queensland),ALP
15,CALLIDE,Colin,BOYCE,Liberal National Party of Queensland,LNP
16,CALOUNDRA,Jason,HUNT,Australian Labor Party (State of Queensland),ALP
17,CAPALABA,Don,BROWN,Australian Labor Party (State of Queensland),ALP
18,CHATSWORTH,Steve,MINNIKIN,Liberal National Party of Queensland,LNP
19,CLAYFIELD,Tim,NICHOLLS,Liberal National Party of Queensland,LNP
20,CONDAMINE,Pat,WEIR,Liberal National Party of Queensland,LNP
21,COOK,Cynthia,LUI,Australian Labor Party (State of Queensland),ALP
22,COOMERA,Michael,CRANDON,Liberal National Party of Queensland,LNP
23,COOPER,Jonty,BUSH,Australian Labor Party (State of Queensland),ALP
24,CURRUMBIN,Laura,GERBER,Liberal National Party of Queensland,LNP
25,EVERTON,Tim,MANDER,Liberal National Party of Queensland,LNP
26,FERNY GROVE,Mark,FURNER,Australian Labor Party (State of Queensland),ALP
27,GAVEN,Meaghan,SCANLON,Australian Labor Party (State of Queensland),ALP
28,GLADSTONE,Glenn,BUTCHER,Australian Labor Party (State of Queensland),ALP
29,GLASS HOUSE,Andrew,POWELL,Liberal National Party of Queensland,LNP
30,GREENSLOPES,Joe,KELLY,Australian Labor Party (State of Queensland),ALP
31,GREGORY,Lachlan,MILLAR,Liberal National Party of Queensland,LNP
32,GYMPIE,Tony,PERRETT,Liberal National Party of Queensland,LNP
33,HERVEY BAY,Adrian,TANTARI,Australian Labor Party (State of Queensland),ALP
34,HILL,Shane,KNUTH,Katter's Australian Party (KAP),KAP
35,HINCHINBROOK,Nick,DAMETTO,Katter's Australian Party (KAP),KAP
36,INALA,Annastacia,PALASZCZUK,Australian Labor Party (State of Queensland),ALP
37,IPSWICH,Jennifer,HOWARD,Australian Labor Party (State of Queensland),ALP
38,IPSWICH WEST,Jim,MADDEN,Australian Labor Party (State of Queensland),ALP
39,JORDAN,Charis,MULLEN,Australian Labor Party (State of Queensland),ALP
40,KAWANA,Jarrod,BLEIJIE,Liberal National Party of Queensland,LNP
41,KEPPEL,Brittany,LAUGA,Australian Labor Party (State of Queensland),ALP
42,KURWONGBAH,Shane,KING,Australian Labor Party (State of Queensland),ALP
43,LOCKYER,Jim,MCDONALD,Liberal National Party of Queensland,LNP
44,LOGAN,Linus,POWER,Australian Labor Party (State of Queensland),ALP
45,LYTTON,Joan,PEASE,Australian Labor Party (State of Queensland),ALP
46,MACALISTER,Melissa,MCMAHON,Australian Labor Party (State of Queensland),ALP
47,MCCONNEL,Grace,GRACE,Australian Labor Party (State of Queensland),ALP
48,MACKAY,Julieanne,GILBERT,Australian Labor Party (State of Queensland),ALP
49,MAIWAR,Michael,BERKMAN,Queensland Greens,GRN
50,MANSFIELD,Corrine,MCMILLAN,Australian Labor Party (State of Queensland),ALP
51,MAROOCHYDORE,Fiona,SIMPSON,Liberal National Party of Queensland,LNP
52,MARYBOROUGH,Bruce,SAUNDERS,Australian Labor Party (State of Queensland),ALP
53,MERMAID BEACH,Ray,STEVENS,Liberal National Party of Queensland,LNP
54,MILLER,Mark,BAILEY,Australian Labor Party (State of Queensland),ALP
55,MIRANI,Stephen,ANDREW,Pauline Hanson's One Nation Queensland Division,ONP
56,MOGGILL,Christian,ROWAN,Liberal National Party of Queensland,LNP
57,MORAYFIELD,Mark,RYAN,Australian Labor Party (State of Queensland),ALP
58,MOUNT OMMANEY,Jess,PUGH,Australian Labor Party (State of Queensland),ALP
59,MUDGEERABA,Ros,BATES,Liberal National Party of Queensland,LNP
60,MULGRAVE,Curtis,PITT,Australian Labor Party (State of Queensland),ALP
61,MUNDINGBURRA,Les,WALKER,Australian Labor Party (State of Queensland),ALP
62,MURRUMBA,Steven,MILES,Australian Labor Party (State of Queensland),ALP
63,NANANGO,Deb,FRECKLINGTON,Liberal National Party of Queensland,LNP
64,NICKLIN,Robert,SKELTON,Australian Labor Party (State of Queensland),ALP
65,NINDERRY,Dan,PURDIE,Liberal National Party of Queensland,LNP
66,NOOSA,Sandy,BOLTON,Independent,IND
67,NUDGEE,Leanne,LINARD,Australian Labor Party (State of Queensland),ALP
68,OODGEROO,Mark,ROBINSON,Liberal National Party of Queensland,LNP
69,PINE RIVERS,Nikki,BOYD,Australian Labor Party (State of Queensland),ALP
70,PUMICESTONE,Ali,KING,Australian Labor Party (State of Queensland),ALP
71,REDCLIFFE,Yvette,D'ATH,Australian Labor Party (State of Queensland),ALP
72,REDLANDS,Kim,RICHARDS,Australian Labor Party (State of Queensland),ALP
73,ROCKHAMPTON,Barry,O'ROURKE,Australian Labor Party (State of Queensland),ALP
74,SANDGATE,Stirling,HINCHLIFFE,Australian Labor Party (State of Queensland),ALP
75,SCENIC RIM,Jon,KRAUSE,Liberal National Party of Queensland,LNP
76,SOUTH BRISBANE,Amy,MACMAHON,Queensland Greens,GRN
77,SOUTHERN DOWNS,James,LISTER,Liberal National Party of Queensland,LNP
78,SOUTHPORT,Rob,MOLHOEK,Liberal National Party of Queensland,LNP
79,SPRINGWOOD,Mick,DE BRENNI,Australian Labor Party (State of Queensland),ALP
80,STAFFORD,Jimmy,SULLIVAN,Australian Labor Party (State of Queensland),ALP
81,STRETTON,Duncan,PEGG,Australian Labor Party (State of Queensland),ALP
82,SURFERS PARADISE,John-Paul,LANGBROEK,Liberal National Party of Queensland,LNP
83,THEODORE,Mark,BOOTHMAN,Liberal National Party of Queensland,LNP
84,THURINGOWA,Aaron,HARPER,Australian Labor Party (State of Queensland),ALP
85,TOOHEY,Peter,RUSSO,Australian Labor Party (State of Queensland),ALP
86,TOOWOOMBA NORTH,Trevor,WATTS,Liberal National Party of Queensland,LNP
87,TOOWOOMBA SOUTH,David,JANETZKI,Liberal National Party of Queensland,LNP
88,TOWNSVILLE,Scott,STEWART,Australian Labor Party (State of Queensland),ALP
89,TRAEGER,Robbie,KATTER,Katter's Australian Party (KAP),KAP
90,WARREGO,Ann,LEAHY,Liberal National Party of Queensland,LNP
91,WATERFORD,Shannon,FENTIMAN,Australian Labor Party (State of Queensland),ALP
92,WHITSUNDAY,Amanda,CAMM,Liberal National Party of Queensland,LNP
93,WOODRIDGE,Cameron,DICK,Australian Labor Party (State of Queensland),ALP
